record_id,visit_location,audit_location,true_water_source_score
57788,AkHa00008,AkHa00008,3
55626,HaRu19826,HaRu19826,9
23857,AmDa11947,AmDa11947,1
45472,AmPw12680,AmPw12680,3
45588,AmPw12680,AmPw12680,3
45653,AmPw12680,AmPw12680,3
45752,AmPw12680,AmPw12680,3
45778,AmPw12680,AmPw12680,3
45798,AmPw12680,AmPw12680,3
45809,AmPw12680,AmPw12680,3
45878,AmPw12680,AmPw12680,3
18495,SoRu37841,SoRu37841,6
33931,KiRu27884,KiRu27884,1
42469,HaDe16514,HaDe16514,1
44892,KiMr24591,KiMr24591,0
36889,KiIs24014,KiIs24014,1
22404,AkRu07523,AkRu07523,3
17950,KiZu31170,KiZu31170,9
55958,AkRu04753,AkRu04753,9
35173,SoRu36774,SoRu36774,2
43524,SoRu36239,SoRu36239,2
23770,KiRu27776,KiRu27776,3
23881,KiRu27776,KiRu27776,3
23970,KiRu27776,KiRu27776,3
24020,KiRu27776,KiRu27776,3
24065,KiRu27776,KiRu27776,3
24089,KiRu27776,KiRu27776,3
24159,KiRu27776,KiRu27776,3
24268,KiRu27776,KiRu27776,3
42866,AkRu03164,AkRu03164,3
8004,AkRu05809,AkRu05809,2
32143,KiRu28632,KiRu28632,5
32283,KiRu28632,KiRu28632,5
32304,KiRu28632,KiRu28632,5
32342,KiRu28632,KiRu28632,5
32431,KiRu28632,KiRu28632,5
32486,KiRu28632,KiRu28632,5
32577,KiRu28632,KiRu28632,5
32667,KiRu28632,KiRu28632,5
17755,KiRu30389,KiRu30389,4
40201,AkKi01375,AkKi01375,3
55624,SoRu37530,SoRu37530,0
23719,AmBe10959,AmBe10959,4
25621,HaRu19828,HaRu19828,2
32992,SoIl32999,SoIl32999,2
56000,HaRu18571,HaRu18571,2
56276,AkRu08666,AkRu08666,6
29135,AkRu03306,AkRu03306,7
132,AkRu08936,AkRu08936,3
59324,HaSe21341,HaSe21341,3
59821,SoRu35327,SoRu35327,1
54574,AmRu14903,AmRu14903,9
10635,AmAb09101,AmAb09101,6
15269,KiAm22276,KiAm22276,0
18740,HaRu20617,HaRu20617,1
36864,KiZu31370,KiZu31370,3
58386,HaRu18217,HaRu18217,1
35488,KiRu29806,KiRu29806,9
25822,KiRu28057,KiRu28057,1
16253,AkRu06170,AkRu06170,3
45718,AkRu03380,AkRu03380,3
17842,KiRu26678,KiRu26678,2
23182,AmBe10942,AmBe10942,9
59182,KiIs23730,KiIs23730,3
59319,KiIs23730,KiIs23730,3
59413,KiIs23730,KiIs23730,3
59440,KiIs23730,KiIs23730,3
59585,KiIs23730,KiIs23730,3
59600,KiIs23730,KiIs23730,3
59630,KiIs23730,KiIs23730,3
59659,KiIs23730,KiIs23730,3
39514,KiHa23034,KiHa23034,3
45924,AkRu06495,AkRu06495,2
30524,HaRu17528,HaRu17528,1
493,KiRu28090,KiRu28090,6
12421,AmRu13729,AmRu13729,2
43421,HaRu18016,HaRu18016,1
46897,KiRu27440,KiRu27440,9
54414,HaYa21606,HaYa21606,3
41291,HaRu17207,HaRu17207,1
19578,AmAm09735,AmAm09735,1
36976,HaRu20534,HaRu20534,2
13192,SoRu38331,SoRu38331,3
13282,SoRu38331,SoRu38331,3
13379,SoRu38331,SoRu38331,3
13382,SoRu38331,SoRu38331,3
13475,SoRu38331,SoRu38331,3
13496,SoRu38331,SoRu38331,3
13521,SoRu38331,SoRu38331,3
13607,SoRu38331,SoRu38331,3
57820,AmPw12770,AmPw12770,3
46932,AkLu02096,AkLu02096,3
26351,HaRu20434,HaRu20434,2
28038,AkRu02688,AkRu02688,0
30594,AmBe11285,AmBe11285,9
57704,AmRu13720,AmRu13720,3
57829,AmRu13720,AmRu13720,3
57844,AmRu13720,AmRu13720,3
57849,AmRu13720,AmRu13720,3
57870,AmRu13720,AmRu13720,3
57968,AmRu13720,AmRu13720,3
58108,AmRu13720,AmRu13720,3
58163,AmRu13720,AmRu13720,3
41990,SoMa33819,SoMa33819,0
32719,SoRu38119,SoRu38119,1
34259,AmRu12983,AmRu12983,3
23263,SoRu35906,SoRu35906,5
23333,SoRu35906,SoRu35906,5
23420,SoRu35906,SoRu35906,5
23532,SoRu35906,SoRu35906,5
23546,SoRu35906,SoRu35906,5
23587,SoRu35906,SoRu35906,5
23677,SoRu35906,SoRu35906,5
23693,SoRu35906,SoRu35906,5
20199,KiRu27742,KiRu27742,3
49145,SoRu35991,SoRu35991,3
28642,KiRu28083,KiRu28083,4
3238,AmRu15159,AmRu15159,9
31258,HaYa21456,HaYa21456,2
9967,HaRu18734,HaRu18734,2
49787,SoRu35970,SoRu35970,3
35054,AmAs10285,AmAs10285,3
35109,AmAs10285,AmAs10285,3
35135,AmAs10285,AmAs10285,3
35257,AmAs10285,AmAs10285,3
35277,AmAs10285,AmAs10285,3
35454,AmAs10285,AmAs10285,3
35462,AmAs10285,AmAs10285,3
35578,AmAs10285,AmAs10285,3
15461,AmRu15556,AmRu15556,9
45820,KiZu31223,KiZu31223,3
45947,KiZu31223,KiZu31223,3
46006,KiZu31223,KiZu31223,3
46113,KiZu31223,KiZu31223,3
46153,KiZu31223,KiZu31223,3
46222,KiZu31223,KiZu31223,3
46246,KiZu31223,KiZu31223,3
46251,KiZu31223,KiZu31223,3
31987,SoRu38546,SoRu38546,9
43323,AmPw12293,AmPw12293,6
778,SoRu39488,SoRu39488,3
889,SoRu39488,SoRu39488,3
902,SoRu39488,SoRu39488,3
927,SoRu39488,SoRu39488,3
984,SoRu39488,SoRu39488,3
1043,SoRu39488,SoRu39488,3
1178,SoRu39488,SoRu39488,3
1199,SoRu39488,SoRu39488,3
9997,SoRu39408,SoRu39408,5
10080,SoRu39408,SoRu39408,5
10156,SoRu39408,SoRu39408,5
10194,SoRu39408,SoRu39408,5
10197,SoRu39408,SoRu39408,5
10298,SoRu39408,SoRu39408,5
10444,SoRu39408,SoRu39408,5
10496,SoRu39408,SoRu39408,5
55863,HaRu17750,HaRu17750,2
55067,AmAm09607,AmAm09607,9
38650,KiRu30604,KiRu30604,0
38879,KiZu30905,KiZu30905,9
12919,SoRu39374,SoRu39374,9
29407,AkHa00314,AkHa00314,9
36882,SoRu37406,SoRu37406,2
41421,AkRu05212,AkRu05212,9
58139,SoIl32294,SoIl32294,0
12271,AmBe11313,AmBe11313,0
12319,SoRu35426,SoRu35426,3
13554,AkHa00073,AkHa00073,3
10054,SoRu35899,SoRu35899,9
30561,KiRu26664,KiRu26664,2
15465,SoRu36580,SoRu36580,3
15591,SoRu36580,SoRu36580,3
15594,SoRu36580,SoRu36580,3
15682,SoRu36580,SoRu36580,3
15764,SoRu36580,SoRu36580,3
15815,SoRu36580,SoRu36580,3
15846,SoRu36580,SoRu36580,3
15996,SoRu36580,SoRu36580,3
28874,KiRu26598,KiRu26598,9
56526,AkLu02432,AkLu02432,2
54666,HaRu19287,HaRu19287,5
54686,HaRu19287,HaRu19287,5
54700,HaRu19287,HaRu19287,5
54724,HaRu19287,HaRu19287,5
54884,HaRu19287,HaRu19287,5
54897,HaRu19287,HaRu19287,5
54983,HaRu19287,HaRu19287,5
55053,HaRu19287,HaRu19287,5
26133,SoRu38915,SoRu38915,1
12342,KiRu26032,KiRu26032,0
48832,KiRu25619,KiRu25619,3
55796,KiIs23853,KiIs23853,2
41191,AkHa00172,AkHa00172,2
33105,KiRu27927,KiRu27927,3
16862,KiRu28045,KiRu28045,2
51573,KiRu29614,KiRu29614,1
20447,KiRu25484,KiRu25484,1
34369,AkRu04989,AkRu04989,1
16750,AkKi01455,AkKi01455,3
16781,AkKi01455,AkKi01455,3
16787,AkKi01455,AkKi01455,3
16887,AkKi01455,AkKi01455,3
16967,AkKi01455,AkKi01455,3
17025,AkKi01455,AkKi01455,3
17124,AkKi01455,AkKi01455,3
17139,AkKi01455,AkKi01455,3
45984,SoIl33047,SoIl33047,2
14252,SoCh32025,SoCh32025,0
9134,KiRu28089,KiRu28089,0
18841,AkRu07622,AkRu07622,2
28639,KiRu29909,KiRu29909,1
6032,AmBe11266,AmBe11266,9
33630,AkRu03475,AkRu03475,1
44733,KiRu26934,KiRu26934,2
13341,SoRu35691,SoRu35691,5
13440,SoRu35691,SoRu35691,5
13482,SoRu35691,SoRu35691,5
13504,SoRu35691,SoRu35691,5
13549,SoRu35691,SoRu35691,5
13591,SoRu35691,SoRu35691,5
13742,SoRu35691,SoRu35691,5
13810,SoRu35691,SoRu35691,5
50300,SoMa34148,SoMa34148,2
46070,AmRu15860,AmRu15860,1
26141,SoRu38125,SoRu38125,5
26252,SoRu38125,SoRu38125,5
26300,SoRu38125,SoRu38125,5
26322,SoRu38125,SoRu38125,5
26358,SoRu38125,SoRu38125,5
26410,SoRu38125,SoRu38125,5
26502,SoRu38125,SoRu38125,5
26634,SoRu38125,SoRu38125,5
13812,AkLu02637,AkLu02637,9
28404,KiIs24083,KiIs24083,2
28362,SoRu35824,SoRu35824,1
42076,KiRu27806,KiRu27806,0
13651,AkRu03182,AkRu03182,3
12774,AkHa00088,AkHa00088,1
5668,SoRu36828,SoRu36828,2
24429,AkLu02438,AkLu02438,9
21140,SoRu38250,SoRu38250,6
20924,AkHa00613,AkHa00613,3
58102,KiMr25005,KiMr25005,0
9203,AkRu04428,AkRu04428,3
44051,SoRu35103,SoRu35103,5
44145,SoRu35103,SoRu35103,5
44178,SoRu35103,SoRu35103,5
44237,SoRu35103,SoRu35103,5
44338,SoRu35103,SoRu35103,5
44370,SoRu35103,SoRu35103,5
44394,SoRu35103,SoRu35103,5
44522,SoRu35103,SoRu35103,5
26255,SoRu36975,SoRu36975,0
52082,AkHa00662,AkHa00662,2
37231,SoCh31985,SoCh31985,3
14211,AmAm09631,AmAm09631,9
31642,SoRu37129,SoRu37129,0
49607,SoRu38416,SoRu38416,3
49625,SoRu38416,SoRu38416,3
49798,SoRu38416,SoRu38416,3
49817,SoRu38416,SoRu38416,3
49850,SoRu38416,SoRu38416,3
49869,SoRu38416,SoRu38416,3
49977,SoRu38416,SoRu38416,3
50037,SoRu38416,SoRu38416,3
8346,AkRu02670,AkRu02670,2
14442,AkHa00487,AkHa00487,3
16286,SoRu36186,SoRu36186,0
4101,AkRu03649,AkRu03649,2
51075,KiRu30343,KiRu30343,2
10586,AmRu13668,AmRu13668,9
20902,SoMa34044,SoMa34044,0
13172,AmRu14531,AmRu14531,9
50347,SoRu37317,SoRu37317,2
3093,KiIs23613,KiIs23613,6
13409,SoRu39288,SoRu39288,0
34009,AkRu07820,AkRu07820,3
24774,AkRu07774,AkRu07774,3
3267,SoBa31691,SoBa31691,0
54896,SoRu36385,SoRu36385,2
21978,KiIs24054,KiIs24054,9
32520,KiRu29129,KiRu29129,1
54900,KiHa23042,KiHa23042,1
39863,AkHa00459,AkHa00459,1
17354,SoBa31659,SoBa31659,3
6624,KiRu30394,KiRu30394,4
19195,SoKo33111,SoKo33111,1
17142,AkRu03429,AkRu03429,3
24912,KiRu26860,KiRu26860,0
56325,KiAm22303,KiAm22303,9
25264,HaRu18493,HaRu18493,3
4779,HaRu18608,HaRu18608,1
58643,SoRu35964,SoRu35964,2
47577,KiMr24872,KiMr24872,2
672,KiAm22458,KiAm22458,2
54483,AkRu05603,AkRu05603,3
56353,HaRu20851,HaRu20851,9
41757,KiRu25343,KiRu25343,1
57218,SoRu36816,SoRu36816,3
43798,HaRu20840,HaRu20840,3
43873,HaRu20840,HaRu20840,3
43894,HaRu20840,HaRu20840,3
43914,HaRu20840,HaRu20840,3
44065,HaRu20840,HaRu20840,3
44121,HaRu20840,HaRu20840,3
44189,HaRu20840,HaRu20840,3
44278,HaRu20840,HaRu20840,3
3240,SoRu38966,SoRu38966,5
17009,SoRu37494,SoRu37494,9
25331,HaRu19176,HaRu19176,1
22982,AmBe11175,AmBe11175,3
23048,AmBe11175,AmBe11175,3
23088,AmBe11175,AmBe11175,3
23094,AmBe11175,AmBe11175,3
23115,AmBe11175,AmBe11175,3
23200,AmBe11175,AmBe11175,3
23287,AmBe11175,AmBe11175,3
23453,AmBe11175,AmBe11175,3
19732,HaDe16360,HaDe16360,1
8225,AmBe11054,AmBe11054,9
59776,AkRu08460,AkRu08460,2
2006,SoKo33124,SoKo33124,3
2107,SoKo33124,SoKo33124,3
2220,SoKo33124,SoKo33124,3
2278,SoKo33124,SoKo33124,3
2304,SoKo33124,SoKo33124,3
2330,SoKo33124,SoKo33124,3
2373,SoKo33124,SoKo33124,3
2458,SoKo33124,SoKo33124,3
16824,AkKi01211,AkKi01211,3
25386,SoIl32445,SoIl32445,2
39886,AmRu13532,AmRu13532,9
7542,SoRu36142,SoRu36142,1
4291,AkRu05020,AkRu05020,3
34773,HaRu18730,HaRu18730,1
30088,KiRu25527,KiRu25527,2
59724,AkRu05442,AkRu05442,3
53713,AkRu05207,AkRu05207,3
53800,AkRu05207,AkRu05207,3
53824,AkRu05207,AkRu05207,3
53914,AkRu05207,AkRu05207,3
53928,AkRu05207,AkRu05207,3
54036,AkRu05207,AkRu05207,3
54157,AkRu05207,AkRu05207,3
54160,AkRu05207,AkRu05207,3
39550,AmAm09844,AmAm09844,9
18145,AkRu04217,AkRu04217,3
16689,SoRu38733,SoRu38733,5
5710,SoBa31655,SoBa31655,9
17821,SoRu37392,SoRu37392,4
17894,SoRu37392,SoRu37392,4
18045,SoRu37392,SoRu37392,4
18088,SoRu37392,SoRu37392,4
18116,SoRu37392,SoRu37392,4
18215,SoRu37392,SoRu37392,4
18263,SoRu37392,SoRu37392,4
18383,SoRu37392,SoRu37392,4
15839,AkKi01238,AkKi01238,3
36952,AmRu14527,AmRu14527,3
9396,KiRu26502,KiRu26502,3
28338,AkRu06339,AkRu06339,0
42676,SoRu37920,SoRu37920,0
26484,AkRu02682,AkRu02682,2
39852,AmBe10969,AmBe10969,3
39963,AmBe10969,AmBe10969,3
40094,AmBe10969,AmBe10969,3
40134,AmBe10969,AmBe10969,3
40214,AmBe10969,AmBe10969,3
40307,AmBe10969,AmBe10969,3
40313,AmBe10969,AmBe10969,3
40414,AmBe10969,AmBe10969,3
19813,AkRu08755,AkRu08755,3
13174,KiRu30051,KiRu30051,2
314,HaRu19054,HaRu19054,2
26851,HaRu17182,HaRu17182,1
26263,AmBe11275,AmBe11275,3
26302,AmBe11275,AmBe11275,3
26312,AmBe11275,AmBe11275,3
26386,AmBe11275,AmBe11275,3
26491,AmBe11275,AmBe11275,3
26575,AmBe11275,AmBe11275,3
26670,AmBe11275,AmBe11275,3
26698,AmBe11275,AmBe11275,3
52668,HaRu19036,HaRu19036,2
40090,KiMr24348,KiMr24348,2
28247,AmPw12550,AmPw12550,9
43586,HaRu20299,HaRu20299,2
25652,KiRu29119,KiRu29119,1
32365,AkRu03116,AkRu03116,3
23001,SoRu35393,SoRu35393,1
27091,AkLu02173,AkLu02173,1
45092,AkRu08283,AkRu08283,3
58809,KiRu28782,KiRu28782,3
58859,KiRu28782,KiRu28782,3
58968,KiRu28782,KiRu28782,3
59030,KiRu28782,KiRu28782,3
59062,KiRu28782,KiRu28782,3
59120,KiRu28782,KiRu28782,3
59155,KiRu28782,KiRu28782,3
59242,KiRu28782,KiRu28782,3
46365,AmAs10095,AmAs10095,3
5321,KiRu29980,KiRu29980,1
37346,KiRu25770,KiRu25770,3
24374,AmRu15634,AmRu15634,3
3469,AkRu07742,AkRu07742,2
26429,KiRu28806,KiRu28806,1
44726,AmAs10011,AmAs10011,9
36815,KiMr25056,KiMr25056,1
25972,HaDj16864,HaDj16864,1
53182,AkRu04116,AkRu04116,3
50239,AmPw12272,AmPw12272,9
14781,HaRu18271,HaRu18271,1
55255,HaAm16293,HaAm16293,3
30754,KiRu27852,KiRu27852,2
16840,AmAs10552,AmAs10552,9
15506,HaAm16112,HaAm16112,2
5702,KiZu30983,KiZu30983,3
59640,SoRu37524,SoRu37524,3
36919,HaYa21356,HaYa21356,2
6493,AkRu03754,AkRu03754,3
39478,SoMa34566,SoMa34566,2
15192,AmRu15394,AmRu15394,1
53947,HaRu19917,HaRu19917,9
47342,SoRu35762,SoRu35762,1
41269,AmAm09806,AmAm09806,9
37437,AmAm09566,AmAm09566,9
30396,KiRu27527,KiRu27527,2
41487,SoRu36079,SoRu36079,0
46052,AkLu02420,AkLu02420,2
30990,SoRu38360,SoRu38360,0
15619,KiIs23815,KiIs23815,2
40443,AmRu14691,AmRu14691,2
29104,AkLu01944,AkLu01944,3
15628,SoBa31866,SoBa31866,1
53738,AkRu05799,AkRu05799,3
31416,KiRu26647,KiRu26647,1
3138,AmRu14452,AmRu14452,3
59212,AkRu03095,AkRu03095,3
59335,AkRu03095,AkRu03095,3
59414,AkRu03095,AkRu03095,3
59431,AkRu03095,AkRu03095,3
59516,AkRu03095,AkRu03095,3
59601,AkRu03095,AkRu03095,3
59629,AkRu03095,AkRu03095,3
59638,AkRu03095,AkRu03095,3
34917,SoRu37072,SoRu37072,1
18821,SoBa31473,SoBa31473,2
3368,SoRu35606,SoRu35606,3
3412,SoRu35606,SoRu35606,3
3584,SoRu35606,SoRu35606,3
3667,SoRu35606,SoRu35606,3
3689,SoRu35606,SoRu35606,3
3722,SoRu35606,SoRu35606,3
3750,SoRu35606,SoRu35606,3
3881,SoRu35606,SoRu35606,3
48699,KiRu28515,KiRu28515,2
17117,KiMr24897,KiMr24897,9
56435,AkRu03657,AkRu03657,2
5645,KiRu29556,KiRu29556,2
9908,AmAs10840,AmAs10840,9
30665,SoRu37224,SoRu37224,2
43257,HaRu20820,HaRu20820,2
18330,KiIs23717,KiIs23717,3
51823,HaRu18196,HaRu18196,1
9213,KiRu28445,KiRu28445,1
2023,AkRu04790,AkRu04790,9
37485,AkLu01749,AkLu01749,3
36027,SoRu35924,SoRu35924,2
48940,KiRu27827,KiRu27827,2
34248,AmRu13018,AmRu13018,5
34310,AmRu13018,AmRu13018,5
34453,AmRu13018,AmRu13018,5
34526,AmRu13018,AmRu13018,5
34586,AmRu13018,AmRu13018,5
34596,AmRu13018,AmRu13018,5
34696,AmRu13018,AmRu13018,5
34737,AmRu13018,AmRu13018,5
20600,SoRu36421,SoRu36421,0
52713,KiRu28584,KiRu28584,1
28511,KiRu29073,KiRu29073,2
29731,AkHa00593,AkHa00593,2
49534,AkKi01372,AkKi01372,3
49615,AkKi01372,AkKi01372,3
49628,AkKi01372,AkKi01372,3
49714,AkKi01372,AkKi01372,3
49819,AkKi01372,AkKi01372,3
49837,AkKi01372,AkKi01372,3
49852,AkKi01372,AkKi01372,3
49947,AkKi01372,AkKi01372,3
4533,AkLu02206,AkLu02206,3
25512,AkRu08105,AkRu08105,2
56179,AkRu04781,AkRu04781,2
56646,KiRu27348,KiRu27348,1
50252,AkRu07358,AkRu07358,3
17917,SoRu35645,SoRu35645,3
44405,HaDj16729,HaDj16729,1
28365,AmAm09422,AmAm09422,9
46572,KiRu28871,KiRu28871,9
21867,SoKo33489,SoKo33489,2
42529,KiIs24061,KiIs24061,2
33109,SoRu36514,SoRu36514,6
55400,SoRu38062,SoRu38062,0
51404,AkRu04644,AkRu04644,3
51414,AkRu04644,AkRu04644,3
51429,AkRu04644,AkRu04644,3
51441,AkRu04644,AkRu04644,3
51549,AkRu04644,AkRu04644,3
51654,AkRu04644,AkRu04644,3
51723,AkRu04644,AkRu04644,3
51837,AkRu04644,AkRu04644,3
6875,AkRu07669,AkRu07669,2
54735,KiMr24651,KiMr24651,3
44968,SoRu35689,SoRu35689,0
22019,KiZu31427,KiZu31427,9
57585,KiMr24677,KiMr24677,1
57038,KiZu30847,KiZu30847,9
58460,HaRu17145,HaRu17145,1
52145,SoKo33450,SoKo33450,2
22708,AkRu06471,AkRu06471,2
48225,AkRu03909,AkRu03909,6
36448,SoRu38054,SoRu38054,0
10930,KiZu30933,KiZu30933,0
21540,AmRu15659,AmRu15659,3
6317,AkRu04196,AkRu04196,1
56405,HaRu17171,HaRu17171,3
58243,KiZu31286,KiZu31286,5
58297,KiZu31286,KiZu31286,5
58317,KiZu31286,KiZu31286,5
58330,KiZu31286,KiZu31286,5
58476,KiZu31286,KiZu31286,5
58542,KiZu31286,KiZu31286,5
58567,KiZu31286,KiZu31286,5
58657,KiZu31286,KiZu31286,5
25122,KiRu27045,KiRu27045,9
38982,AkRu07822,AkRu07822,2
30299,SoRu38801,SoRu38801,5
30403,SoRu38801,SoRu38801,5
30446,SoRu38801,SoRu38801,5
30460,SoRu38801,SoRu38801,5
30551,SoRu38801,SoRu38801,5
30632,SoRu38801,SoRu38801,5
30699,SoRu38801,SoRu38801,5
30708,SoRu38801,SoRu38801,5
37033,AkRu05622,AkRu05622,2
59978,AmRu13368,AmRu13368,3
3862,KiRu29197,KiRu29197,2
51906,KiHa22987,KiHa22987,2
2528,AmAb09209,AmAb09209,0
12880,SoRu35737,SoRu35737,1
32243,HaRu20358,HaRu20358,1
27985,SoRu38427,SoRu38427,0
26100,SoRu39385,SoRu39385,2
14154,KiAm22078,KiAm22078,3
571,HaRu18624,HaRu18624,2
52324,AkLu01620,AkLu01620,3
40218,SoRu39442,SoRu39442,0
16638,AmBe11161,AmBe11161,3
16757,AmBe11161,AmBe11161,3
16763,AmBe11161,AmBe11161,3
16810,AmBe11161,AmBe11161,3
16830,AmBe11161,AmBe11161,3
16982,AmBe11161,AmBe11161,3
17054,AmBe11161,AmBe11161,3
17120,AmBe11161,AmBe11161,3
25387,AkHa00363,AkHa00363,0
59694,SoRu36982,SoRu36982,9
42496,KiRu29202,KiRu29202,3
2112,KiRu30289,KiRu30289,1
43418,HaDj16691,HaDj16691,3
11602,SoRu35904,SoRu35904,0
38984,AkRu07627,AkRu07627,7
12025,AkRu06941,AkRu06941,9
40620,SoMa33925,SoMa33925,1
25833,KiAm22052,KiAm22052,3
52815,SoRu37929,SoRu37929,0
5732,HaRu19467,HaRu19467,1
51451,HaRu19164,HaRu19164,1
58049,HaRu18836,HaRu18836,9
57491,SoRu38150,SoRu38150,9
41120,AmAm09853,AmAm09853,9
30376,SoRu38947,SoRu38947,2
44700,AmDa11683,AmDa11683,4
3296,SoBa31761,SoBa31761,2
32491,AmRu14207,AmRu14207,1
12606,HaZa21638,HaZa21638,1
45489,KiRu30052,KiRu30052,2
30172,KiRu26263,KiRu26263,9
25976,AmAb08975,AmAb08975,9
14792,SoRu38924,SoRu38924,9
32554,KiRu26698,KiRu26698,9
48857,KiRu26909,KiRu26909,3
17084,SoCh32037,SoCh32037,0
9767,SoMa33775,SoMa33775,0
43336,HaRu20481,HaRu20481,2
47317,KiRu29745,KiRu29745,2
2867,KiRu29612,KiRu29612,2
35709,AmRu13754,AmRu13754,9
26148,SoRu35482,SoRu35482,0
15430,HaRu17297,HaRu17297,9
16159,SoKo33094,SoKo33094,0
48151,AkRu03158,AkRu03158,9
33352,AkRu06069,AkRu06069,7
