province_name,town_name,location_type,type_of_water_source,number_of_people_served,time_in_queue,pollution_results,pollutant_ppm,biological
Akatsi,Harare,Urban,tap_in_home_broken,304,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,830,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,350,0,"Contaminated: Chemical",5.47361,0
Akatsi,Harare,Urban,well,216,0,"Contaminated: Chemical",6.32238,0
Akatsi,Harare,Urban,tap_in_home,790,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,724,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,240,0,"Contaminated: Chemical",9.52413,0
Akatsi,Harare,Urban,tap_in_home_broken,360,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,184,0,"Contaminated: Chemical",3.72481,0
Akatsi,Harare,Urban,tap_in_home_broken,656,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,246,0,"Contaminated: Chemical",8.01804,0
Akatsi,Harare,Urban,tap_in_home,494,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,224,0,"Contaminated: Biological",0,44.0632
Akatsi,Harare,Urban,well,398,0,Clean,0.0807532,0.0000324062
Akatsi,Harare,Urban,well,340,0,Clean,0.0524641,0.0000354559
Akatsi,Harare,Urban,well,294,0,Clean,0.0970343,0.0000299014
Akatsi,Harare,Urban,well,288,0,Clean,0.0637435,0.0000505184
Akatsi,Harare,Urban,well,386,0,Clean,0.03493,0.00000457372
Akatsi,Harare,Urban,well,242,0,Clean,0.0514359,0.0000396324
Akatsi,Harare,Urban,tap_in_home_broken,764,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,646,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,328,0,"Contaminated: Biological",0,38.014
Akatsi,Harare,Urban,tap_in_home,838,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,258,0,"Contaminated: Biological",0,47.9326
Akatsi,Harare,Urban,well,256,0,Clean,0.0251622,0.000052929
Akatsi,Harare,Urban,well,184,0,"Contaminated: Chemical",4.8505,0
Akatsi,Harare,Urban,tap_in_home,390,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,346,0,"Contaminated: Biological",0,96.6341
Akatsi,Harare,Urban,tap_in_home_broken,942,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,308,0,Clean,0.0687379,0.000031294
Akatsi,Harare,Urban,tap_in_home_broken,326,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,250,0,Clean,0.0376942,0.0000914302
Akatsi,Harare,Urban,well,388,0,Clean,0.0120857,0.0000173289
Akatsi,Harare,Urban,tap_in_home,502,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,536,0,NULL,NULL,NULL
Akatsi,Harare,Urban,river,662,5,NULL,NULL,NULL
Akatsi,Harare,Urban,well,292,0,Clean,0.0914523,0.0000740437
Akatsi,Harare,Urban,well,352,0,"Contaminated: Biological",0,182.88
Akatsi,Harare,Urban,shared_tap,3488,240,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,482,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,830,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,264,0,"Contaminated: Chemical",2.81731,0
Akatsi,Harare,Urban,well,250,0,"Contaminated: Chemical",1.36235,0
Akatsi,Harare,Urban,well,272,0,"Contaminated: Biological",0,182.88
Akatsi,Harare,Urban,well,384,0,Clean,0.051791,0.000046894
Akatsi,Harare,Urban,well,334,0,Clean,0.0837427,0.0000423783
Akatsi,Harare,Urban,tap_in_home_broken,670,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,336,0,Clean,0.0771107,0.0000409938
Akatsi,Harare,Urban,tap_in_home,570,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,292,0,Clean,0.056475,0.000060501
Akatsi,Harare,Urban,well,340,0,Clean,0.0222367,0.0000253264
Akatsi,Harare,Urban,shared_tap,1600,23,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,990,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,274,0,"Contaminated: Biological",0,38.2643
Akatsi,Harare,Urban,well,380,0,"Contaminated: Biological",0,182.88
Akatsi,Harare,Urban,well,196,0,Clean,0.070202,0.00005126
Akatsi,Harare,Urban,well,386,0,Clean,0.0672968,0.0000939349
Akatsi,Harare,Urban,well,366,0,Clean,0.0742698,0.0000272118
Akatsi,Harare,Urban,tap_in_home_broken,640,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,224,0,Clean,0.0983217,0.00000987874
Akatsi,Harare,Urban,tap_in_home,332,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,196,0,Clean,0.093237,0.0000291742
Akatsi,Harare,Urban,tap_in_home_broken,334,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,482,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,754,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,654,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,302,0,Clean,0.0959304,0.0000194352
Akatsi,Harare,Urban,river,724,22,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,526,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,538,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,542,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,262,0,"Contaminated: Chemical",2.40463,0
Akatsi,Harare,Urban,well,184,0,Clean,0.0177502,0.0000370581
Akatsi,Harare,Urban,tap_in_home_broken,876,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,328,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,778,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,756,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,186,0,"Contaminated: Biological",0,495.898
Akatsi,Harare,Urban,tap_in_home_broken,952,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,242,0,Clean,0.0424571,39.4978
Akatsi,Harare,Urban,tap_in_home_broken,504,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,628,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,748,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,416,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,358,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,332,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,214,0,Clean,0.0203226,0.0000128431
Akatsi,Harare,Urban,well,278,0,Clean,0.0327072,0.00000966497
Akatsi,Harare,Urban,well,222,0,"Contaminated: Biological",0,182.88
Akatsi,Harare,Urban,tap_in_home,706,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,230,0,Clean,0.0308623,0.0000875416
Akatsi,Harare,Urban,well,388,0,"Contaminated: Chemical",7.21888,0
Akatsi,Harare,Urban,well,298,0,Clean,0.0453546,0.000065023
Akatsi,Harare,Urban,tap_in_home,320,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,234,0,"Contaminated: Chemical",2.81182,0
Akatsi,Harare,Urban,well,308,0,"Contaminated: Biological",0,262.668
Akatsi,Harare,Urban,well,336,0,"Contaminated: Biological",0,11.511
Akatsi,Harare,Urban,well,308,0,"Contaminated: Chemical",6.47703,0
Akatsi,Harare,Urban,well,304,0,Clean,0.0490216,0.0000613415
Akatsi,Harare,Urban,tap_in_home,660,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,344,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,630,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,192,0,Clean,0.0456341,0.000099571
Akatsi,Harare,Urban,shared_tap,2538,207,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,536,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,216,0,Clean,0.0686967,0.0000400134
Akatsi,Harare,Urban,tap_in_home,880,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,230,0,Clean,0.0702901,0.0000801025
Akatsi,Harare,Urban,well,282,0,"Contaminated: Chemical",5.35981,0
Akatsi,Harare,Urban,well,272,0,"Contaminated: Biological",0,96.6341
Akatsi,Harare,Urban,well,310,0,Clean,0.0898955,0.0000373339
Akatsi,Harare,Urban,well,394,0,Clean,0.0253155,0.0000637739
Akatsi,Harare,Urban,tap_in_home,706,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,300,0,"Contaminated: Chemical",3.8808,0
Akatsi,Harare,Urban,well,284,0,Clean,0.0793277,0.0000413692
Akatsi,Harare,Urban,well,194,0,"Contaminated: Biological",0,182.88
Akatsi,Harare,Urban,well,184,0,"Contaminated: Biological",0,485.162
Akatsi,Harare,Urban,tap_in_home,872,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,354,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,600,0,NULL,NULL,NULL
Akatsi,Harare,Urban,shared_tap,3874,30,NULL,NULL,NULL
Akatsi,Harare,Urban,well,186,0,"Contaminated: Chemical",8.07141,0
Akatsi,Harare,Urban,well,302,0,Clean,0.0147458,0.0000194866
Akatsi,Harare,Urban,tap_in_home,508,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,260,0,Clean,0.0587872,0.0000264583
Akatsi,Harare,Urban,tap_in_home_broken,338,0,NULL,NULL,NULL
Akatsi,Harare,Urban,shared_tap,2632,213,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,964,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,388,0,Clean,0.0316523,0.0000302315
Akatsi,Harare,Urban,tap_in_home_broken,320,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,570,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,256,0,"Contaminated: Biological",0,262.668
Akatsi,Harare,Urban,tap_in_home_broken,538,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,280,0,"Contaminated: Biological",0,318.664
Akatsi,Harare,Urban,well,178,0,"Contaminated: Biological",0,42.6439
Akatsi,Harare,Urban,well,274,0,Clean,0.024489,0.0000923129
Akatsi,Harare,Urban,well,348,0,"Contaminated: Chemical",9.02106,0
Akatsi,Harare,Urban,well,166,0,Clean,0.0588047,0.0000152057
Akatsi,Harare,Urban,tap_in_home_broken,812,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,680,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,186,0,Clean,0.0837429,0.0000213459
Akatsi,Harare,Urban,well,398,0,Clean,0.0479139,0.0000603685
Akatsi,Harare,Urban,well,362,0,"Contaminated: Chemical",5.79634,0
Akatsi,Harare,Urban,tap_in_home,752,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,228,0,Clean,0.0481477,0.0000904105
Akatsi,Harare,Urban,tap_in_home,796,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,332,0,Clean,0.0846305,0.0000303538
Akatsi,Harare,Urban,tap_in_home_broken,816,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,282,0,"Contaminated: Biological",0,96.6341
Akatsi,Harare,Urban,tap_in_home,922,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,670,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,538,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,370,0,"Contaminated: Chemical",7.98899,0
Akatsi,Harare,Urban,well,322,0,"Contaminated: Biological",0,96.6341
Akatsi,Harare,Urban,well,302,0,"Contaminated: Biological",0,262.668
Akatsi,Harare,Urban,tap_in_home_broken,586,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,402,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,570,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,542,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,314,0,Clean,0.0265878,0.00000828109
Akatsi,Harare,Urban,well,234,0,Clean,0.0783075,0.0000172492
Akatsi,Harare,Urban,tap_in_home,986,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,188,0,"Contaminated: Biological",0,262.668
Akatsi,Harare,Urban,shared_tap,3340,240,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,370,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,166,0,"Contaminated: Chemical",7.16207,0
Akatsi,Harare,Urban,tap_in_home_broken,642,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,192,0,Clean,0.0178793,0.0000509082
Akatsi,Harare,Urban,tap_in_home,366,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,276,0,Clean,0.0195581,0.0000878417
Akatsi,Harare,Urban,tap_in_home_broken,464,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,684,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,778,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,982,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,296,0,Clean,0.0544749,0.0000920517
Akatsi,Harare,Urban,well,336,0,Clean,0.0547973,0.0000249314
Akatsi,Harare,Urban,tap_in_home,354,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,244,0,Clean,0.0747417,0.0000585961
Akatsi,Harare,Urban,well,346,0,"Contaminated: Biological",0,45.6094
Akatsi,Harare,Urban,well,192,0,"Contaminated: Biological",0,4.02025
Akatsi,Harare,Urban,well,204,0,Clean,0.0199008,0.0000853913
Akatsi,Harare,Urban,well,380,0,"Contaminated: Biological",0,267.371
Akatsi,Harare,Urban,well,244,0,"Contaminated: Biological",0,96.6341
Akatsi,Harare,Urban,tap_in_home,748,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,168,0,"Contaminated: Chemical",2.01157,0
Akatsi,Harare,Urban,well,344,0,Clean,0.0151353,0.000070741
Akatsi,Harare,Urban,well,162,0,Clean,0.0936421,0.0000454391
Akatsi,Harare,Urban,tap_in_home_broken,800,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,350,0,"Contaminated: Chemical",5.06781,0
Akatsi,Harare,Urban,shared_tap,2280,26,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,458,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,746,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,232,0,"Contaminated: Biological",0,182.88
Akatsi,Harare,Urban,well,300,0,"Contaminated: Chemical",3.11277,0
Akatsi,Harare,Urban,tap_in_home_broken,784,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,388,0,Clean,0.0490286,0.0000890864
Akatsi,Harare,Urban,well,270,0,"Contaminated: Biological",0,318.664
Akatsi,Harare,Urban,tap_in_home,832,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,388,0,Clean,0.0158241,0.0000823784
Akatsi,Harare,Urban,tap_in_home_broken,300,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,930,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,324,0,"Contaminated: Chemical",1.08328,0
Akatsi,Harare,Urban,well,186,0,"Contaminated: Biological",0,495.898
Akatsi,Harare,Urban,well,196,0,Clean,0.0565617,0.0000450223
Akatsi,Harare,Urban,well,210,0,Clean,0.0539414,0.000098797
Akatsi,Harare,Urban,tap_in_home_broken,930,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,240,0,"Contaminated: Biological",0,318.664
Akatsi,Harare,Urban,well,214,0,"Contaminated: Biological",0,182.88
Akatsi,Harare,Urban,well,230,0,"Contaminated: Biological",0,45.9848
Akatsi,Harare,Urban,well,364,0,"Contaminated: Chemical",8.86209,0
Akatsi,Harare,Urban,well,328,0,"Contaminated: Chemical",5.3843,0
Akatsi,Harare,Urban,tap_in_home_broken,884,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,408,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,806,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,342,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,372,0,Clean,0.0795538,0.000069517
Akatsi,Harare,Urban,tap_in_home_broken,622,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,882,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,992,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,700,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,254,0,"Contaminated: Chemical",2.42591,0
Akatsi,Harare,Urban,tap_in_home_broken,636,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,818,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,714,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,326,0,Clean,0.0456568,0.0000969983
Akatsi,Harare,Urban,tap_in_home,512,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,190,0,"Contaminated: Biological",0,267.371
Akatsi,Harare,Urban,well,318,0,"Contaminated: Chemical",4.12195,0
Akatsi,Harare,Urban,well,292,0,"Contaminated: Biological",0,267.371
Akatsi,Harare,Urban,tap_in_home_broken,706,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,362,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,312,0,Clean,0.0919149,0.0000944284
Akatsi,Harare,Urban,well,174,0,Clean,0.0346134,0.0000501041
Akatsi,Harare,Urban,tap_in_home,492,0,NULL,NULL,NULL
Akatsi,Harare,Urban,shared_tap,2666,216,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,544,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,874,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,924,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,276,0,"Contaminated: Biological",0,262.668
Akatsi,Harare,Urban,tap_in_home,738,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,386,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,756,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,518,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,192,0,Clean,0.0788178,0.0000774155
Akatsi,Harare,Urban,well,196,0,"Contaminated: Biological",0,495.898
Akatsi,Harare,Urban,well,274,0,"Contaminated: Biological",0,1.51278
Akatsi,Harare,Urban,well,304,0,Clean,0.0175615,0.0000270361
Akatsi,Harare,Urban,well,274,0,"Contaminated: Biological",0,318.664
Akatsi,Harare,Urban,shared_tap,322,16,NULL,NULL,NULL
Akatsi,Harare,Urban,well,268,0,"Contaminated: Biological",0,28.9335
Akatsi,Harare,Urban,well,264,0,"Contaminated: Chemical",9.908,0
Akatsi,Harare,Urban,well,292,0,"Contaminated: Chemical",7.54997,0
Akatsi,Harare,Urban,tap_in_home_broken,504,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,310,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,286,0,Clean,0.0924155,0.0000662435
Akatsi,Harare,Urban,well,378,0,Clean,0.0151666,0.00000257823
Akatsi,Harare,Urban,tap_in_home_broken,696,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,364,0,Clean,0.0281234,0.000039053
Akatsi,Harare,Urban,tap_in_home_broken,466,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,180,0,"Contaminated: Chemical",2.93283,0
Akatsi,Harare,Urban,well,382,0,"Contaminated: Biological",0,96.6341
Akatsi,Harare,Urban,tap_in_home_broken,732,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,378,0,"Contaminated: Biological",0,262.668
Akatsi,Harare,Urban,tap_in_home,976,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,388,0,Clean,0.0532662,0.0000176228
Akatsi,Harare,Urban,tap_in_home,850,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,394,0,Clean,0.0782769,0.0000349593
Akatsi,Harare,Urban,tap_in_home_broken,484,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,944,0,NULL,NULL,NULL
Akatsi,Harare,Urban,shared_tap,2212,26,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,324,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,476,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,390,0,Clean,0.0689476,0.00000643582
Akatsi,Harare,Urban,tap_in_home,578,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,772,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,340,0,"Contaminated: Chemical",1.0477,0
Akatsi,Harare,Urban,well,224,0,Clean,0.0109894,0.0000447791
Akatsi,Harare,Urban,tap_in_home_broken,358,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,950,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,166,0,"Contaminated: Chemical",1.73625,0
Akatsi,Harare,Urban,well,310,0,"Contaminated: Chemical",2.11469,0
Akatsi,Harare,Urban,tap_in_home,546,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,206,0,Clean,0.0101626,0.000068871
Akatsi,Harare,Urban,well,164,0,"Contaminated: Biological",0,43.4331
Akatsi,Harare,Urban,tap_in_home,406,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,364,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,672,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,710,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,414,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,414,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,224,0,"Contaminated: Chemical",2.52021,0
Akatsi,Harare,Urban,tap_in_home_broken,398,0,NULL,NULL,NULL
Akatsi,Harare,Urban,river,638,9,NULL,NULL,NULL
Akatsi,Harare,Urban,well,188,0,Clean,0.0228572,0.0000453267
Akatsi,Harare,Urban,well,306,0,"Contaminated: Chemical",9.45074,0
Akatsi,Harare,Urban,tap_in_home,792,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,908,0,NULL,NULL,NULL
Akatsi,Harare,Urban,river,676,22,NULL,NULL,NULL
Akatsi,Harare,Urban,well,210,0,"Contaminated: Chemical",1.87157,0
Akatsi,Harare,Urban,tap_in_home,732,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,344,0,Clean,0.0962357,0.0000390401
Akatsi,Harare,Urban,tap_in_home_broken,322,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,306,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,176,0,Clean,0.0455358,0.0000812398
Akatsi,Harare,Urban,shared_tap,510,17,NULL,NULL,NULL
Akatsi,Harare,Urban,well,366,0,"Contaminated: Chemical",2.96056,0
Akatsi,Harare,Urban,well,334,0,Clean,0.0195043,0.0000933206
Akatsi,Harare,Urban,tap_in_home,326,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,232,0,Clean,0.0860229,0.0000464933
Akatsi,Harare,Urban,tap_in_home_broken,654,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,258,0,Clean,0.0788554,0.0000515884
Akatsi,Harare,Urban,shared_tap,3840,30,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,496,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,382,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,294,0,"Contaminated: Chemical",9.85326,0
Akatsi,Harare,Urban,tap_in_home_broken,970,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,378,0,"Contaminated: Biological",0,96.6341
Akatsi,Harare,Urban,well,212,0,"Contaminated: Biological",0,485.162
Akatsi,Harare,Urban,tap_in_home_broken,758,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,316,0,"Contaminated: Biological",0,495.898
Akatsi,Harare,Urban,tap_in_home_broken,752,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,740,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,322,0,Clean,0.0474704,0.0000289838
Akatsi,Harare,Urban,tap_in_home,562,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,212,0,"Contaminated: Chemical",6.65641,0
Akatsi,Harare,Urban,well,360,0,"Contaminated: Chemical",7.4507,0
Akatsi,Harare,Urban,well,258,0,Clean,0.0911134,0.0000594698
Akatsi,Harare,Urban,tap_in_home_broken,942,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,344,0,Clean,0.0976358,0.0000115769
Akatsi,Harare,Urban,tap_in_home,426,0,NULL,NULL,NULL
