address,town_name,province_name,source_id,type_of_water_source,results
"25 Addis Ababa Road",Harare,Akatsi,AkHa00041224,tap_in_home,NULL
"86 Addis Ababa Road",Harare,Akatsi,AkHa00042224,tap_in_home,NULL
"104 Addis Ababa Road",Harare,Akatsi,AkHa00043224,tap_in_home_broken,NULL
"138 Addis Ababa Road",Harare,Akatsi,AkHa00044224,well,Clean
"107 Addis Ababa Road",Harare,Akatsi,AkHa00045224,well,"Contaminated: Chemical"
"140 Addis Ababa Road",Harare,Akatsi,AkHa00046224,well,Clean
"141 Addis Ababa Road",Harare,Akatsi,AkHa00047224,well,Clean
"102 Addis Ababa Road",Harare,Akatsi,AkHa00048224,well,Clean
"96 Addis Ababa Road",Harare,Akatsi,AkHa00049224,tap_in_home_broken,NULL
"45 Addis Ababa Road",Harare,Akatsi,AkHa00050224,tap_in_home_broken,NULL
"46 Addis Ababa Road",Harare,Akatsi,AkHa00051224,tap_in_home,NULL
"48 Addis Ababa Road",Harare,Akatsi,AkHa00052224,tap_in_home,NULL
"83 Addis Ababa Road",Harare,Akatsi,AkHa00053224,tap_in_home_broken,NULL
"5 Addis Ababa Road",Harare,Akatsi,AkHa00054224,well,"Contaminated: Biological"
"108 Addis Ababa Road",Harare,Akatsi,AkHa00055224,tap_in_home,NULL
"110 Addis Ababa Road",Harare,Akatsi,AkHa00056224,well,"Contaminated: Chemical"
"53 Addis Ababa Road",Harare,Akatsi,AkHa00057224,tap_in_home_broken,NULL
"12 Addis Ababa Road",Harare,Akatsi,AkHa00058224,well,Clean
"112 Addis Ababa Road",Harare,Akatsi,AkHa00059224,well,Clean
"85 Addis Ababa Road",Harare,Akatsi,AkHa00060224,tap_in_home_broken,NULL
"115 Addis Ababa Road",Harare,Akatsi,AkHa00061224,tap_in_home,NULL
"103 Addis Ababa Road",Harare,Akatsi,AkHa00062224,tap_in_home_broken,NULL
"68 Addis Ababa Road",Harare,Akatsi,AkHa00063224,well,"Contaminated: Chemical"
"38 Addis Ababa Road",Harare,Akatsi,AkHa00064224,tap_in_home_broken,NULL
"93 Addis Ababa Road",Harare,Akatsi,AkHa00065224,tap_in_home_broken,NULL
"56 Addis Ababa Road",Harare,Akatsi,AkHa00066224,tap_in_home,NULL
"131 Addis Ababa Road",Harare,Akatsi,AkHa00067224,well,"Contaminated: Biological"
"130 Addis Ababa Road",Harare,Akatsi,AkHa00068224,well,Clean
"43 Addis Ababa Road",Harare,Akatsi,AkHa00069224,well,"Contaminated: Chemical"
"51 Addis Ababa Road",Harare,Akatsi,AkHa00070224,well,"Contaminated: Chemical"
"119 Addis Ababa Road",Harare,Akatsi,AkHa00071224,well,"Contaminated: Biological"
"79 Addis Ababa Road",Harare,Akatsi,AkHa00072224,tap_in_home_broken,NULL
"41 Addis Ababa Road",Harare,Akatsi,AkHa00073224,well,Clean
"59 Addis Ababa Road",Harare,Akatsi,AkHa00074224,tap_in_home_broken,NULL
"1 Addis Ababa Road",Harare,Akatsi,AkHa00075224,tap_in_home_broken,NULL
"126 Addis Ababa Road",Harare,Akatsi,AkHa00076224,well,Clean
"122 Addis Ababa Road",Harare,Akatsi,AkHa00077224,well,"Contaminated: Chemical"
"134 Addis Ababa Road",Harare,Akatsi,AkHa00078224,tap_in_home_broken,NULL
"70 Addis Ababa Road",Harare,Akatsi,AkHa00079224,tap_in_home,NULL
"148 Addis Ababa Road",Harare,Akatsi,AkHa00080224,tap_in_home,NULL
"145 Addis Ababa Road",Harare,Akatsi,AkHa00081224,well,"Contaminated: Biological"
"77 Addis Ababa Road",Harare,Akatsi,AkHa00082224,tap_in_home_broken,NULL
"50 Addis Ababa Road",Harare,Akatsi,AkHa00083224,tap_in_home_broken,NULL
"35 Addis Ababa Road",Harare,Akatsi,AkHa00084224,shared_tap,NULL
"47 Addis Ababa Road",Harare,Akatsi,AkHa00085224,well,Clean
"74 Addis Ababa Road",Harare,Akatsi,AkHa00086224,well,Clean
"124 Addis Ababa Road",Harare,Akatsi,AkHa00087224,well,"Contaminated: Biological"
"149 Addis Ababa Road",Harare,Akatsi,AkHa00088224,well,"Contaminated: Biological"
"65 Addis Ababa Road",Harare,Akatsi,AkHa00089224,well,"Contaminated: Biological"
"34 Addis Ababa Road",Harare,Akatsi,AkHa00090224,shared_tap,NULL
"34 Addis Ababa Road",Harare,Akatsi,AkHa00090224,shared_tap,NULL
"34 Addis Ababa Road",Harare,Akatsi,AkHa00090224,shared_tap,NULL
"34 Addis Ababa Road",Harare,Akatsi,AkHa00090224,shared_tap,NULL
"34 Addis Ababa Road",Harare,Akatsi,AkHa00090224,shared_tap,NULL
"34 Addis Ababa Road",Harare,Akatsi,AkHa00090224,shared_tap,NULL
"34 Addis Ababa Road",Harare,Akatsi,AkHa00090224,shared_tap,NULL
"34 Addis Ababa Road",Harare,Akatsi,AkHa00090224,shared_tap,NULL
"106 Addis Ababa Road",Harare,Akatsi,AkHa00091224,well,Clean
"13 Addis Ababa Road",Harare,Akatsi,AkHa00092224,well,"Contaminated: Chemical"
"100 Addis Ababa Road",Harare,Akatsi,AkHa00093224,well,Clean
"135 Addis Ababa Road",Harare,Akatsi,AkHa00094224,tap_in_home,NULL
"113 Addis Ababa Road",Harare,Akatsi,AkHa00095224,tap_in_home_broken,NULL
"118 Addis Ababa Road",Harare,Akatsi,AkHa00096224,well,Clean
"67 Addis Ababa Road",Harare,Akatsi,AkHa00097224,tap_in_home,NULL
"26 Addis Ababa Road",Harare,Akatsi,AkHa00098224,well,"Contaminated: Biological"
"114 Addis Ababa Road",Harare,Akatsi,AkHa00099224,tap_in_home,NULL
"64 Addis Ababa Road",Harare,Akatsi,AkHa00100224,tap_in_home_broken,NULL
"23 Addis Ababa Road",Harare,Akatsi,AkHa00101224,tap_in_home_broken,NULL
"20 Addis Ababa Road",Harare,Akatsi,AkHa00102224,tap_in_home,NULL
"30 Addis Ababa Road",Harare,Akatsi,AkHa00103224,shared_tap,NULL
"30 Addis Ababa Road",Harare,Akatsi,AkHa00103224,shared_tap,NULL
"30 Addis Ababa Road",Harare,Akatsi,AkHa00103224,shared_tap,NULL
"30 Addis Ababa Road",Harare,Akatsi,AkHa00103224,shared_tap,NULL
"30 Addis Ababa Road",Harare,Akatsi,AkHa00103224,shared_tap,NULL
"30 Addis Ababa Road",Harare,Akatsi,AkHa00103224,shared_tap,NULL
"30 Addis Ababa Road",Harare,Akatsi,AkHa00103224,shared_tap,NULL
"30 Addis Ababa Road",Harare,Akatsi,AkHa00103224,shared_tap,NULL
"4 Addis Ababa Road",Harare,Akatsi,AkHa00104224,tap_in_home_broken,NULL
"91 Addis Ababa Road",Harare,Akatsi,AkHa00105224,well,Clean
"87 Addis Ababa Road",Harare,Akatsi,AkHa00106224,well,"Contaminated: Chemical"
"127 Addis Ababa Road",Harare,Akatsi,AkHa00107224,tap_in_home_broken,NULL
"129 Addis Ababa Road",Harare,Akatsi,AkHa00108224,well,Clean
"18 Addis Ababa Road",Harare,Akatsi,AkHa00109224,tap_in_home,NULL
"58 Addis Ababa Road",Harare,Akatsi,AkHa00110224,well,"Contaminated: Biological"
"69 Addis Ababa Road",Harare,Akatsi,AkHa00111224,tap_in_home,NULL
"73 Addis Ababa Road",Harare,Akatsi,AkHa00112224,tap_in_home,NULL
"90 Addis Ababa Road",Harare,Akatsi,AkHa00113224,well,Clean
"94 Addis Ababa Road",Harare,Akatsi,AkHa00114224,tap_in_home,NULL
"101 Addis Ababa Road",Harare,Akatsi,AkHa00115224,tap_in_home,NULL
"42 Addis Ababa Road",Harare,Akatsi,AkHa00116224,tap_in_home_broken,NULL
"7 Addis Ababa Road",Harare,Akatsi,AkHa00117224,well,"Contaminated: Biological"
"99 Addis Ababa Road",Harare,Akatsi,AkHa00118224,well,Clean
"123 Addis Ababa Road",Harare,Akatsi,AkHa00119224,well,"Contaminated: Biological"
"3 Addis Ababa Road",Harare,Akatsi,AkHa00120224,tap_in_home_broken,NULL
"62 Addis Ababa Road",Harare,Akatsi,AkHa00121224,well,"Contaminated: Biological"
"111 Addis Ababa Road",Harare,Akatsi,AkHa00122224,tap_in_home,NULL
"143 Addis Ababa Road",Harare,Akatsi,AkHa00123224,well,"Contaminated: Biological"
"40 Addis Ababa Road",Harare,Akatsi,AkHa00124224,well,"Contaminated: Chemical"
"84 Addis Ababa Road",Harare,Akatsi,AkHa00125224,well,Clean
"14 Addis Ababa Road",Harare,Akatsi,AkHa00126224,well,Clean
"117 Addis Ababa Road",Harare,Akatsi,AkHa00127224,tap_in_home,NULL
"146 Addis Ababa Road",Harare,Akatsi,AkHa00128224,well,Clean
"61 Addis Ababa Road",Harare,Akatsi,AkHa00129224,well,"Contaminated: Biological"
"133 Addis Ababa Road",Harare,Akatsi,AkHa00130224,well,Clean
"80 Addis Ababa Road",Harare,Akatsi,AkHa00131224,tap_in_home_broken,NULL
"27 Addis Ababa Road",Harare,Akatsi,AkHa00132224,well,"Contaminated: Biological"
"136 Addis Ababa Road",Harare,Akatsi,AkHa00133224,well,"Contaminated: Chemical"
"97 Addis Ababa Road",Harare,Akatsi,AkHa00134224,well,"Contaminated: Biological"
"109 Addis Ababa Road",Harare,Akatsi,AkHa00135224,well,"Contaminated: Biological"
"33 Addis Ababa Road",Harare,Akatsi,AkHa00136224,well,"Contaminated: Biological"
"44 Addis Ababa Road",Harare,Akatsi,AkHa00137224,shared_tap,NULL
"44 Addis Ababa Road",Harare,Akatsi,AkHa00137224,shared_tap,NULL
"44 Addis Ababa Road",Harare,Akatsi,AkHa00137224,shared_tap,NULL
"44 Addis Ababa Road",Harare,Akatsi,AkHa00137224,shared_tap,NULL
"44 Addis Ababa Road",Harare,Akatsi,AkHa00137224,shared_tap,NULL
"44 Addis Ababa Road",Harare,Akatsi,AkHa00137224,shared_tap,NULL
"44 Addis Ababa Road",Harare,Akatsi,AkHa00137224,shared_tap,NULL
"44 Addis Ababa Road",Harare,Akatsi,AkHa00137224,shared_tap,NULL
"39 Addis Ababa Road",Harare,Akatsi,AkHa00138224,tap_in_home_broken,NULL
"24 Addis Ababa Road",Harare,Akatsi,AkHa00139224,well,Clean
"15 Addis Ababa Road",Harare,Akatsi,AkHa00140224,tap_in_home,NULL
"105 Addis Ababa Road",Harare,Akatsi,AkHa00141224,well,Clean
"92 Addis Ababa Road",Harare,Akatsi,AkHa00142224,tap_in_home_broken,NULL
"78 Addis Ababa Road",Harare,Akatsi,AkHa00143224,well,Clean
"36 Addis Ababa Road",Harare,Akatsi,AkHa00144224,tap_in_home,NULL
"8 Addis Ababa Road",Harare,Akatsi,AkHa00145224,tap_in_home_broken,NULL
"128 Addis Ababa Road",Harare,Akatsi,AkHa00146224,tap_in_home,NULL
"66 Addis Ababa Road",Harare,Akatsi,AkHa00147224,tap_in_home,NULL
"89 Addis Ababa Road",Harare,Akatsi,AkHa00148224,well,Clean
"71 Addis Ababa Road",Harare,Akatsi,AkHa00149224,well,"Contaminated: Biological"
"15 Abyei Avenue",Harare,Akatsi,AkHa00150224,well,"Contaminated: Biological"
"63 Abyei Avenue",Harare,Akatsi,AkHa00151224,well,Clean
"58 Abyei Avenue",Harare,Akatsi,AkHa00152224,well,"Contaminated: Chemical"
"32 Abyei Avenue",Harare,Akatsi,AkHa00153224,well,Clean
"7 Abyei Avenue",Harare,Akatsi,AkHa00154224,well,Clean
"51 Abyei Avenue",Harare,Akatsi,AkHa00155224,well,"Contaminated: Chemical"
"45 Abyei Avenue",Harare,Akatsi,AkHa00156224,well,"Contaminated: Chemical"
"3 Abyei Avenue",Harare,Akatsi,AkHa00157224,well,"Contaminated: Chemical"
"24 Abyei Avenue",Harare,Akatsi,AkHa00158224,shared_tap,NULL
"24 Abyei Avenue",Harare,Akatsi,AkHa00158224,shared_tap,NULL
"24 Abyei Avenue",Harare,Akatsi,AkHa00158224,shared_tap,NULL
"24 Abyei Avenue",Harare,Akatsi,AkHa00158224,shared_tap,NULL
"24 Abyei Avenue",Harare,Akatsi,AkHa00158224,shared_tap,NULL
"24 Abyei Avenue",Harare,Akatsi,AkHa00158224,shared_tap,NULL
"24 Abyei Avenue",Harare,Akatsi,AkHa00158224,shared_tap,NULL
"24 Abyei Avenue",Harare,Akatsi,AkHa00158224,shared_tap,NULL
"59 Abyei Avenue",Harare,Akatsi,AkHa00159224,tap_in_home_broken,NULL
"40 Abyei Avenue",Harare,Akatsi,AkHa00160224,well,Clean
"10 Abyei Avenue",Harare,Akatsi,AkHa00161224,tap_in_home,NULL
"26 Abyei Avenue",Harare,Akatsi,AkHa00162224,tap_in_home,NULL
"28 Abyei Avenue",Harare,Akatsi,AkHa00163224,well,Clean
"2 Abyei Avenue",Harare,Akatsi,AkHa00164224,tap_in_home_broken,NULL
"66 Abyei Avenue",Harare,Akatsi,AkHa00165224,tap_in_home_broken,NULL
"5 Abyei Avenue",Harare,Akatsi,AkHa00166224,tap_in_home_broken,NULL
"19 Abyei Avenue",Harare,Akatsi,AkHa00167224,well,Clean
"21 Abyei Avenue",Harare,Akatsi,AkHa00168224,tap_in_home_broken,NULL
"44 Abyei Avenue",Harare,Akatsi,AkHa00169224,tap_in_home,NULL
"48 Abyei Avenue",Harare,Akatsi,AkHa00170224,tap_in_home_broken,NULL
"60 Abyei Avenue",Harare,Akatsi,AkHa00171224,tap_in_home,NULL
"52 Abyei Avenue",Harare,Akatsi,AkHa00172224,well,"Contaminated: Chemical"
"36 Abyei Avenue",Harare,Akatsi,AkHa00173224,tap_in_home,NULL
"38 Abyei Avenue",Harare,Akatsi,AkHa00174224,well,"Contaminated: Chemical"
"54 Abyei Avenue",Harare,Akatsi,AkHa00175224,well,"Contaminated: Biological"
"53 Abyei Avenue",Harare,Akatsi,AkHa00176224,tap_in_home,NULL
"37 Abyei Avenue",Harare,Akatsi,AkHa00177224,well,"Contaminated: Biological"
"33 Abyei Avenue",Harare,Akatsi,AkHa00178224,tap_in_home_broken,NULL
"39 Abyei Avenue",Harare,Akatsi,AkHa00179224,well,"Contaminated: Chemical"
"18 Abyei Avenue",Harare,Akatsi,AkHa00180224,river,NULL
"69 Abyei Avenue",Harare,Akatsi,AkHa00181224,well,Clean
"4 Abyei Avenue",Harare,Akatsi,AkHa00182224,well,"Contaminated: Chemical"
"41 Abyei Avenue",Harare,Akatsi,AkHa00183224,tap_in_home,NULL
"43 Abyei Avenue",Harare,Akatsi,AkHa00184224,well,Clean
"64 Abyei Avenue",Harare,Akatsi,AkHa00185224,well,Clean
"22 Abyei Avenue",Harare,Akatsi,AkHa00186224,well,"Contaminated: Biological"
"13 Abyei Avenue",Harare,Akatsi,AkHa00187224,well,"Contaminated: Biological"
"30 Abyei Avenue",Harare,Akatsi,AkHa00188224,river,NULL
"25 Abyei Avenue",Harare,Akatsi,AkHa00189224,well,Clean
"17 Abyei Avenue",Harare,Akatsi,AkHa00190224,tap_in_home,NULL
"46 Abyei Avenue",Harare,Akatsi,AkHa00191224,tap_in_home,NULL
"47 Abyei Avenue",Harare,Akatsi,AkHa00192224,tap_in_home,NULL
"9 Abyei Avenue",Harare,Akatsi,AkHa00193224,tap_in_home_broken,NULL
"42 Abyei Avenue",Harare,Akatsi,AkHa00194224,well,"Contaminated: Biological"
"20 Abyei Avenue",Harare,Akatsi,AkHa00195224,tap_in_home_broken,NULL
"11 Abyei Avenue",Harare,Akatsi,AkHa00196224,well,Clean
"14 Abyei Avenue",Harare,Akatsi,AkHa00197224,well,Clean
"61 Abyei Avenue",Harare,Akatsi,AkHa00198224,well,"Contaminated: Chemical"
"56 Abyei Avenue",Harare,Akatsi,AkHa00199224,well,"Contaminated: Chemical"
"6 Abyei Avenue",Harare,Akatsi,AkHa00200224,tap_in_home,NULL
"68 Abyei Avenue",Harare,Akatsi,AkHa00201224,tap_in_home,NULL
"50 Abyei Avenue",Harare,Akatsi,AkHa00202224,shared_tap,NULL
"1 Abyei Avenue",Harare,Akatsi,AkHa00203224,tap_in_home,NULL
"8 Abyei Avenue",Harare,Akatsi,AkHa00204224,well,Clean
"70 Abyei Avenue",Harare,Akatsi,AkHa00205224,well,"Contaminated: Chemical"
"55 Abyei Avenue",Harare,Akatsi,AkHa00206224,well,Clean
"12 Abyei Avenue",Harare,Akatsi,AkHa00207224,well,"Contaminated: Chemical"
"57 Abyei Avenue",Harare,Akatsi,AkHa00208224,well,"Contaminated: Chemical"
"65 Abyei Avenue",Harare,Akatsi,AkHa00209224,tap_in_home,NULL
"35 Abyei Avenue",Harare,Akatsi,AkHa00210224,well,"Contaminated: Biological"
"27 Abyei Avenue",Harare,Akatsi,AkHa00211224,tap_in_home,NULL
"23 Abyei Avenue",Harare,Akatsi,AkHa00212224,well,"Contaminated: Chemical"
"16 Abyei Avenue",Harare,Akatsi,AkHa00213224,tap_in_home_broken,NULL
"29 Abyei Avenue",Harare,Akatsi,AkHa00214224,tap_in_home_broken,NULL
"31 Abyei Avenue",Harare,Akatsi,AkHa00215224,well,"Contaminated: Biological"
"67 Abyei Avenue",Harare,Akatsi,AkHa00216224,tap_in_home,NULL
"49 Abyei Avenue",Harare,Akatsi,AkHa00217224,well,"Contaminated: Chemical"
"34 Abyei Avenue",Harare,Akatsi,AkHa00218224,tap_in_home,NULL
"62 Abyei Avenue",Harare,Akatsi,AkHa00219224,well,Clean
"7 Miriam Makeba Way",Harare,Akatsi,AkHa00220224,tap_in_home,NULL
"26 Miriam Makeba Way",Harare,Akatsi,AkHa00221224,tap_in_home,NULL
"41 Miriam Makeba Way",Harare,Akatsi,AkHa00222224,well,Clean
"34 Miriam Makeba Way",Harare,Akatsi,AkHa00223224,well,"Contaminated: Biological"
"4 Miriam Makeba Way",Harare,Akatsi,AkHa00224224,tap_in_home,NULL
"44 Miriam Makeba Way",Harare,Akatsi,AkHa00225224,well,Clean
"1 Miriam Makeba Way",Harare,Akatsi,AkHa00226224,well,Clean
"29 Miriam Makeba Way",Harare,Akatsi,AkHa00227224,well,Clean
"56 Miriam Makeba Way",Harare,Akatsi,AkHa00228224,well,"Contaminated: Chemical"
"54 Miriam Makeba Way",Harare,Akatsi,AkHa00229224,well,"Contaminated: Biological"
"49 Miriam Makeba Way",Harare,Akatsi,AkHa00230224,tap_in_home,NULL
"36 Miriam Makeba Way",Harare,Akatsi,AkHa00231224,well,Clean
"17 Miriam Makeba Way",Harare,Akatsi,AkHa00232224,river,NULL
"27 Miriam Makeba Way",Harare,Akatsi,AkHa00233224,tap_in_home_broken,NULL
"48 Miriam Makeba Way",Harare,Akatsi,AkHa00234224,tap_in_home_broken,NULL
"14 Miriam Makeba Way",Harare,Akatsi,AkHa00235224,well,Clean
"3 Miriam Makeba Way",Harare,Akatsi,AkHa00236224,shared_tap,NULL
"3 Miriam Makeba Way",Harare,Akatsi,AkHa00236224,shared_tap,NULL
"3 Miriam Makeba Way",Harare,Akatsi,AkHa00236224,shared_tap,NULL
"3 Miriam Makeba Way",Harare,Akatsi,AkHa00236224,shared_tap,NULL
"3 Miriam Makeba Way",Harare,Akatsi,AkHa00236224,shared_tap,NULL
"3 Miriam Makeba Way",Harare,Akatsi,AkHa00236224,shared_tap,NULL
"3 Miriam Makeba Way",Harare,Akatsi,AkHa00236224,shared_tap,NULL
"3 Miriam Makeba Way",Harare,Akatsi,AkHa00236224,shared_tap,NULL
"2 Miriam Makeba Way",Harare,Akatsi,AkHa00237224,tap_in_home_broken,NULL
"16 Miriam Makeba Way",Harare,Akatsi,AkHa00238224,well,"Contaminated: Biological"
"53 Miriam Makeba Way",Harare,Akatsi,AkHa00239224,well,Clean
"28 Miriam Makeba Way",Harare,Akatsi,AkHa00240224,tap_in_home,NULL
"10 Miriam Makeba Way",Harare,Akatsi,AkHa00241224,tap_in_home,NULL
"5 Miriam Makeba Way",Harare,Akatsi,AkHa00242224,well,Clean
"55 Miriam Makeba Way",Harare,Akatsi,AkHa00243224,well,"Contaminated: Biological"
"59 Miriam Makeba Way",Harare,Akatsi,AkHa00244224,well,Clean
"42 Miriam Makeba Way",Harare,Akatsi,AkHa00245224,tap_in_home,NULL
"40 Miriam Makeba Way",Harare,Akatsi,AkHa00246224,tap_in_home,NULL
"9 Miriam Makeba Way",Harare,Akatsi,AkHa00247224,well,Clean
"21 Miriam Makeba Way",Harare,Akatsi,AkHa00248224,river,NULL
"39 Miriam Makeba Way",Harare,Akatsi,AkHa00249224,well,Clean
"46 Miriam Makeba Way",Harare,Akatsi,AkHa00250224,tap_in_home_broken,NULL
"60 Miriam Makeba Way",Harare,Akatsi,AkHa00251224,shared_tap,NULL
"50 Miriam Makeba Way",Harare,Akatsi,AkHa00252224,well,"Contaminated: Chemical"
"38 Miriam Makeba Way",Harare,Akatsi,AkHa00253224,well,"Contaminated: Biological"
"58 Miriam Makeba Way",Harare,Akatsi,AkHa00254224,tap_in_home,NULL
"57 Miriam Makeba Way",Harare,Akatsi,AkHa00255224,well,"Contaminated: Biological"
"24 Miriam Makeba Way",Harare,Akatsi,AkHa00256224,tap_in_home_broken,NULL
"37 Miriam Makeba Way",Harare,Akatsi,AkHa00257224,tap_in_home,NULL
"31 Miriam Makeba Way",Harare,Akatsi,AkHa00258224,tap_in_home,NULL
"43 Miriam Makeba Way",Harare,Akatsi,AkHa00259224,shared_tap,NULL
"43 Miriam Makeba Way",Harare,Akatsi,AkHa00259224,shared_tap,NULL
"43 Miriam Makeba Way",Harare,Akatsi,AkHa00259224,shared_tap,NULL
"43 Miriam Makeba Way",Harare,Akatsi,AkHa00259224,shared_tap,NULL
"43 Miriam Makeba Way",Harare,Akatsi,AkHa00259224,shared_tap,NULL
"43 Miriam Makeba Way",Harare,Akatsi,AkHa00259224,shared_tap,NULL
"43 Miriam Makeba Way",Harare,Akatsi,AkHa00259224,shared_tap,NULL
"43 Miriam Makeba Way",Harare,Akatsi,AkHa00259224,shared_tap,NULL
"32 Miriam Makeba Way",Harare,Akatsi,AkHa00260224,tap_in_home,NULL
"8 Miriam Makeba Way",Harare,Akatsi,AkHa00261224,well,Clean
"52 Miriam Makeba Way",Harare,Akatsi,AkHa00262224,well,Clean
"35 Miriam Makeba Way",Harare,Akatsi,AkHa00263224,shared_tap,NULL
"35 Miriam Makeba Way",Harare,Akatsi,AkHa00263224,shared_tap,NULL
"35 Miriam Makeba Way",Harare,Akatsi,AkHa00263224,shared_tap,NULL
"35 Miriam Makeba Way",Harare,Akatsi,AkHa00263224,shared_tap,NULL
"35 Miriam Makeba Way",Harare,Akatsi,AkHa00263224,shared_tap,NULL
"35 Miriam Makeba Way",Harare,Akatsi,AkHa00263224,shared_tap,NULL
"35 Miriam Makeba Way",Harare,Akatsi,AkHa00263224,shared_tap,NULL
"35 Miriam Makeba Way",Harare,Akatsi,AkHa00263224,shared_tap,NULL
"11 Miriam Makeba Way",Harare,Akatsi,AkHa00264224,tap_in_home,NULL
"20 Miriam Makeba Way",Harare,Akatsi,AkHa00265224,well,"Contaminated: Biological"
"45 Miriam Makeba Way",Harare,Akatsi,AkHa00266224,well,"Contaminated: Chemical"
"15 Miriam Makeba Way",Harare,Akatsi,AkHa00267224,well,Clean
"12 Miriam Makeba Way",Harare,Akatsi,AkHa00268224,tap_in_home,NULL
"18 Miriam Makeba Way",Harare,Akatsi,AkHa00269224,tap_in_home_broken,NULL
"51 Miriam Makeba Way",Harare,Akatsi,AkHa00270224,tap_in_home_broken,NULL
"47 Miriam Makeba Way",Harare,Akatsi,AkHa00271224,well,"Contaminated: Chemical"
"30 Miriam Makeba Way",Harare,Akatsi,AkHa00272224,tap_in_home_broken,NULL
"25 Miriam Makeba Way",Harare,Akatsi,AkHa00273224,well,"Contaminated: Biological"
"22 Miriam Makeba Way",Harare,Akatsi,AkHa00274224,tap_in_home,NULL
