Project_id,source_id,Address,Town,Province,Source_type,Improvement,Source_status,Date_of_completion,Comments
39,KiAm22119224,"58 Lome Street",Amara,Kilimani,well,"Install RO filter",Backlog,NULL,NULL
40,SoRu37843224,"129 Kuku Kenyatta Road",Rural,Sokoto,shared_tap,"Install 1 taps nearby",Backlog,NULL,NULL
41,AkLu02211224,"70 Okonjo-Iweala Street",Lusaka,Akatsi,well,"Install UV and RO filter",Backlog,NULL,NULL
42,AmRu15398224,"47 Ziwa La Machweo Avenue",Rural,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
43,HaDe16499224,"95 Ndege Tambo Road",Deka,Hawassa,well,"Install UV and RO filter",Backlog,NULL,NULL
44,SoRu39347224,"2 Isicathamiya Avenue",Rural,Sokoto,well,"Install RO filter",Backlog,NULL,NULL
45,HaRu17247224,"9 Savannah Grove",Rural,Hawassa,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
46,AkRu04602224,"34 Marrakech Avenue",Rural,Akatsi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
47,KiMr25211224,"147 Afrobeats Street",Mrembo,Kilimani,shared_tap,"Install 4 taps nearby",Backlog,NULL,NULL
48,AkRu07283224,"11 Ukingo Wa Jua Street",Rural,Akatsi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
49,SoCh32247224,"66 Mali Avenue",Cheche,Sokoto,well,"Install RO filter",Backlog,NULL,NULL
50,SoIl32868224,"129 Cape Verde Street",Ilanga,Sokoto,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
51,SoKo33558224,"157 Mlima Wa Hekima Street",Kofi,Sokoto,river,"Drill well",Backlog,NULL,NULL
52,HaRu20738224,"139 Tuku Street",Rural,Hawassa,well,"Install UV and RO filter",Backlog,NULL,NULL
53,AkLu02115224,"116 Kumasi Street",Lusaka,Akatsi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
54,HaAm16229224,"112 Kifaru Lumumba Road",Amina,Hawassa,well,"Install RO filter",Backlog,NULL,NULL
55,HaRu20104224,"172 Milima Kali Street",Rural,Hawassa,well,"Install RO filter",Backlog,NULL,NULL
56,SoRu37081224,"79 Nelson Mandela Street",Rural,Sokoto,river,"Drill well",Backlog,NULL,NULL
57,KiRu27870224,"42 Haile Selassie Avenue",Rural,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
58,AkRu03074224,"19 Swahili Grove",Rural,Akatsi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
59,SoRu37178224,"188 Nelson Mandela Street",Rural,Sokoto,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
60,SoRu38743224,"45 Mto Wa Ukarimu Street",Rural,Sokoto,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
61,AkRu04162224,"150 Victoria Street",Rural,Akatsi,river,"Drill well",Backlog,NULL,NULL
62,HaDj16798224,"84 Durban Road",Djenne,Hawassa,well,"Install RO filter",Backlog,NULL,NULL
63,HaSe21113224,"58 Fes Boulevard",Serowe,Hawassa,river,"Drill well",Backlog,NULL,NULL
64,AmAm09513224,"178 Lumumba Lane",Amina,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
65,AmPw12464224,"190 Jengo Street",Pwani,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
66,AmRu15067224,"61 Mto Maridadi Avenue",Rural,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
67,HaRu20701224,"171 Tuku Street",Rural,Hawassa,well,"Install UV and RO filter",Backlog,NULL,NULL
68,AmRu13095224,"38 Cairo Road",Rural,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
69,KiAm22120224,"192 Lome Street",Amara,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
70,AkRu03143224,"47 Asmara Boulevard",Rural,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
71,SoRu34762224,"12 Simba Road",Rural,Sokoto,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
72,AkRu03586224,"4 Koinange Street",Rural,Akatsi,well,"Install UV and RO filter",Backlog,NULL,NULL
73,AmRu13188224,"6 Hurghada Street",Rural,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
74,SoRu35195224,"59 Kenyatta Avenue",Rural,Sokoto,river,"Drill well",Backlog,NULL,NULL
75,AmAm09743224,"60 Zamajobe Avenue",Amina,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
76,KiZu30889224,"150 Yaounde Street",Zuri,Kilimani,shared_tap,"Install 8 taps nearby",Backlog,NULL,NULL
77,KiRu30163224,"160 Burna Boy Street",Rural,Kilimani,well,"Install RO filter",Backlog,NULL,NULL
78,KiIs23671224,"41 Dodoma Drive",Isiqalo,Kilimani,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
79,HaAm15937224,"40 Garang Street",Amina,Hawassa,shared_tap,"Install 1 taps nearby",Backlog,NULL,NULL
80,HaSe20900224,"26 Pygmy Trail",Serowe,Hawassa,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
81,AmRu14190224,"120 Zinjathropus Street",Rural,Amanzi,well,"Install RO filter",Backlog,NULL,NULL
82,SoBa31893224,"84 Chura Usman Street",Bahari,Sokoto,river,"Drill well",Backlog,NULL,NULL
83,KiRu26584224,"34 Praia Avenue",Rural,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
84,AkRu08557224,"26 African Skies Street",Rural,Akatsi,shared_tap,"Install 4 taps nearby",Backlog,NULL,NULL
85,AkRu07845224,"173 Maji Mema Street",Rural,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
86,AmAm09460224,"7 Accra Avenue",Amina,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
87,KiMr25146224,"18 Afrobeats Street",Mrembo,Kilimani,well,"Install RO filter",Backlog,NULL,NULL
88,AkRu05911224,"92 Mbeki Street",Rural,Akatsi,shared_tap,"Install 4 taps nearby",Backlog,NULL,NULL
89,HaRu20767224,"160 Tuku Street",Rural,Hawassa,well,"Install RO filter",Backlog,NULL,NULL
90,KiRu26837224,"65 N'Djamena Road",Rural,Kilimani,well,"Install RO filter",Backlog,NULL,NULL
91,AmRu13229224,"195 Hurghada Street",Rural,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
92,AkRu04918224,"99 Bissau Street",Rural,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
93,KiRu25866224,"49 Kudu Square",Rural,Kilimani,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
94,SoRu36745224,"140 Kamuzu Banda Road",Rural,Sokoto,river,"Drill well",Backlog,NULL,NULL
95,KiRu28471224,"68 Sungura Amanpour Road",Rural,Kilimani,well,"Install RO filter",Backlog,NULL,NULL
96,AmAb09243224,"13 Fela Kuti Drive",Abidjan,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
97,AkRu07713224,"52 Ukingo Wa Mto Road",Rural,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
98,AmAs10139224,"64 Tembo Road",Asmara,Amanzi,river,"Drill well",Backlog,NULL,NULL
99,HaRu19111224,"109 Winnie Mandela Street",Rural,Hawassa,shared_tap,"Install 1 taps nearby",Backlog,NULL,NULL
100,AmAm09421224,"18 Accra Avenue",Amina,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
101,AkRu04611224,"38 Marrakech Avenue",Rural,Akatsi,shared_tap,"Install 5 taps nearby",Backlog,NULL,NULL
102,KiRu28064224,"35 Duma Leakey Road",Rural,Kilimani,river,"Drill well",Backlog,NULL,NULL
103,SoRu37761224,"62 Kuku Kenyatta Road",Rural,Sokoto,river,"Drill well",Backlog,NULL,NULL
104,SoRu35485224,"77 Monrovia Street",Rural,Sokoto,shared_tap,"Install 1 taps nearby",Backlog,NULL,NULL
105,AmRu14641224,"50 Nyama Choma Street",Rural,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
106,AmRu13013224,"150 Cairo Road",Rural,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
107,KiRu25465224,"40 Uhuru Square",Rural,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
108,AkRu07262224,"20 Ukingo Wa Jua Street",Rural,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
109,AmRu13090224,"106 Cairo Road",Rural,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
110,HaRu17749224,"47 Tunis Road",Rural,Hawassa,well,"Install RO filter",Backlog,NULL,NULL
111,AkRu07933224,"1 Maji Mema Street",Rural,Akatsi,well,"Install UV and RO filter",Backlog,NULL,NULL
112,HaDe16434224,"142 Ndege Tambo Road",Deka,Hawassa,well,"Install UV and RO filter",Backlog,NULL,NULL
113,AkRu03750224,"78 Lumumba Street",Rural,Akatsi,river,"Drill well",Backlog,NULL,NULL
114,AmRu14536224,"121 Desmond Tutu Road",Rural,Amanzi,shared_tap,"Install 5 taps nearby",Backlog,NULL,NULL
115,AmRu13929224,"52 Timbuktu Road",Rural,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
116,AkKi01036224,"92 Tunis Street",Kintampo,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
117,AkHa00545224,"131 Yvonne Chaka Street",Harare,Akatsi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
118,HaDe16565224,"77 Yvonne Chaka Road",Deka,Hawassa,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
119,SoRu37469224,"124 Soko Soyinka Road",Rural,Sokoto,well,"Install RO filter",Backlog,NULL,NULL
120,AkRu05768224,"78 Ramaphosa Road",Rural,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
121,HaSe21258224,"37 Afro Beat Road",Serowe,Hawassa,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
122,KiMr24871224,"2 Mlima Wa Matumaini Street",Mrembo,Kilimani,well,"Install RO filter",Backlog,NULL,NULL
123,SoRu37832224,"61 Kuku Kenyatta Road",Rural,Sokoto,well,"Install UV and RO filter",Backlog,NULL,NULL
124,KiRu29268224,"87 Bahari Ya Faraja Road",Rural,Kilimani,well,"Install RO filter",Backlog,NULL,NULL
125,KiMr25057224,"178 Afrobeats Street",Mrembo,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
126,KiZu31261224,"11 Conakry Street",Zuri,Kilimani,well,"Install RO filter",Backlog,NULL,NULL
127,HaRu19199224,"179 Kiboko Nkrumah Lane",Rural,Hawassa,well,"Install RO filter",Backlog,NULL,NULL
128,KiRu29696224,"148 Ziwa La Upendo Street",Rural,Kilimani,well,"Install RO filter",Backlog,NULL,NULL
129,SoRu35819224,"149 Mombasa Road",Rural,Sokoto,shared_tap,"Install 8 taps nearby",Backlog,NULL,NULL
130,KiRu29941224,"37 Special Star Road",Rural,Kilimani,shared_tap,"Install 8 taps nearby",Backlog,NULL,NULL
131,KiRu27423224,"55 Kaduna Road",Rural,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
132,HaRu18078224,"27 Bamenda Boulevard",Rural,Hawassa,well,"Install RO filter",Backlog,NULL,NULL
133,AmDa11812224,"51 Nyoka Achebe Street",Dahabu,Amanzi,shared_tap,"Install 1 taps nearby",Backlog,NULL,NULL
134,KiZu31061224,"100 Yaounde Street",Zuri,Kilimani,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
135,AkHa00555224,"181 Yvonne Chaka Street",Harare,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
136,KiRu29471224,"152 Bahari Nyeupe Street",Rural,Kilimani,shared_tap,"Install 3 taps nearby",Backlog,NULL,NULL
137,AkRu03181224,"35 Kigali Place",Rural,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
138,SoRu35782224,"127 Mombasa Road",Rural,Sokoto,well,"Install RO filter",Backlog,NULL,NULL
139,KiRu25626224,"26 Kitale Drive",Rural,Kilimani,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
140,SoBa31799224,"132 Chura Usman Street",Bahari,Sokoto,well,"Install UV and RO filter",Backlog,NULL,NULL
141,SoKo33085224,"18 Akili Parkway",Kofi,Sokoto,well,"Install UV and RO filter",Backlog,NULL,NULL
142,SoRu36310224,"139 Casablanca Road",Rural,Sokoto,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
143,KiMr25119224,"152 Afrobeats Street",Mrembo,Kilimani,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
144,KiRu27509224,"47 Soyinka Boulevard",Rural,Kilimani,shared_tap,"Install 4 taps nearby",Backlog,NULL,NULL
145,AmPw12284224,"19 Zuri Place",Pwani,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
146,KiRu27553224,"68 Amanpour Avenue",Rural,Kilimani,well,"Install RO filter",Backlog,NULL,NULL
147,AmAs10336224,"136 Eto'o Street",Asmara,Amanzi,shared_tap,"Install 3 taps nearby",Backlog,NULL,NULL
148,AkKi01340224,"21 Zambezi Street",Kintampo,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
149,HaRu17566224,"15 Constantine Road",Rural,Hawassa,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
150,AmAm09372224,"58 Zambezi Way",Amina,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
151,AmAm09503224,"107 Lumumba Lane",Amina,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
152,AkRu03495224,"75 Koinange Street",Rural,Akatsi,shared_tap,"Install 4 taps nearby",Backlog,NULL,NULL
153,SoRu35868224,"145 Mombasa Road",Rural,Sokoto,well,"Install UV and RO filter",Backlog,NULL,NULL
154,KiRu26516224,"32 Alexandria Avenue",Rural,Kilimani,well,"Install RO filter",Backlog,NULL,NULL
155,HaRu19054224,"180 Winnie Mandela Street",Rural,Hawassa,well,"Install RO filter",Backlog,NULL,NULL
156,AkRu06446224,"151 Punda Kagame Street",Rural,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
157,AkHa00720224,"143 Yvonne Chaka Street",Harare,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
158,HaRu17250224,"3 Savannah Grove",Rural,Hawassa,well,"Install RO filter",Backlog,NULL,NULL
159,KiRu29735224,"96 Ziwa La Upendo Street",Rural,Kilimani,well,"Install RO filter",Backlog,NULL,NULL
160,HaRu18169224,"25 Djibouti Drive",Rural,Hawassa,well,"Install RO filter",Backlog,NULL,NULL
161,AkLu02126224,"63 Kumasi Street",Lusaka,Akatsi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
162,KiRu27964224,"128 Duma Leakey Road",Rural,Kilimani,river,"Drill well",Backlog,NULL,NULL
163,AkLu01843224,"176 Lilongwe Street",Lusaka,Akatsi,well,"Install UV and RO filter",Backlog,NULL,NULL
164,KiZu31025224,"106 Yaounde Street",Zuri,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
165,KiAm22569224,"100 Bahari Ya Upendo Road",Amara,Kilimani,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
166,AmRu14860224,"47 Achebe Kifaru Drive",Rural,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
167,HaRu17281224,"42 Tangier Terrace",Rural,Hawassa,well,"Install UV and RO filter",Backlog,NULL,NULL
168,AmAb09051224,"135 Kinshasa Road",Abidjan,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
169,SoMa34088224,"52 Yaya Touré Lane",Majengo,Sokoto,shared_tap,"Install 4 taps nearby",Backlog,NULL,NULL
170,AkRu07378224,"147 Ukingo Wa Jua Street",Rural,Akatsi,well,"Install UV and RO filter",Backlog,NULL,NULL
171,HaAm16288224,"13 Ziwa La Kutazama Avenue",Amina,Hawassa,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
172,AmAb09174224,"26 Patrice Lumumba Drive",Abidjan,Amanzi,well,"Install UV and RO filter",Backlog,NULL,NULL
173,SoRu38429224,"87 Pwani Ya Joto Road",Rural,Sokoto,river,"Drill well",Backlog,NULL,NULL
174,SoRu37790224,"75 Kuku Kenyatta Road",Rural,Sokoto,river,"Drill well",Backlog,NULL,NULL
175,KiHa23382224,"71 Samora Machel Road",Harare,Kilimani,well,"Install RO filter",Backlog,NULL,NULL
176,HaDe16509224,"91 Ndege Tambo Road",Deka,Hawassa,well,"Install UV and RO filter",Backlog,NULL,NULL
177,KiHa22644224,"64 Tripoli Street",Harare,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
178,AmAs10534224,"64 Nadi Kijani Lane",Asmara,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
179,HaRu19788224,"5 Chanzo Cha Furaha Road",Rural,Hawassa,well,"Install UV and RO filter",Backlog,NULL,NULL
180,HaYa21569224,"24 Wangari Maathai Avenue",Yaounde,Hawassa,well,"Install RO filter",Backlog,NULL,NULL
181,KiRu27352224,"38 Kaduna Road",Rural,Kilimani,river,"Drill well",Backlog,NULL,NULL
182,AmRu14187224,"154 Zinjathropus Street",Rural,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
183,AmRu14687224,"11 Nyama Choma Street",Rural,Amanzi,shared_tap,"Install 1 taps nearby",Backlog,NULL,NULL
184,KiRu28027224,"91 Duma Leakey Road",Rural,Kilimani,well,"Install RO filter",Backlog,NULL,NULL
185,HaAm16131224,"110 Kifaru Lumumba Road",Amina,Hawassa,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
186,KiIs24000224,"139 Farasi Makeba Street",Isiqalo,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
187,KiRu28560224,"52 Sungura Amanpour Road",Rural,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
188,AmRu13978224,"114 Timbuktu Road",Rural,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
189,SoMa34255224,"65 Freetown Road",Marang,Sokoto,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
190,SoRu37541224,"30 Mwewe Kagame Drive",Rural,Sokoto,shared_tap,"Install 6 taps nearby",Backlog,NULL,NULL
191,SoRu38539224,"19 Pwani Ya Joto Road",Rural,Sokoto,well,"Install RO filter",Backlog,NULL,NULL
192,SoKo33099224,"27 Akili Parkway",Kofi,Sokoto,well,"Install UV and RO filter",Backlog,NULL,NULL
193,KiZu31161224,"123 Conakry Street",Zuri,Kilimani,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
194,HaSe21080224,"17 Fes Boulevard",Serowe,Hawassa,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
195,SoRu36015224,"183 Seychelles Street",Rural,Sokoto,well,"Install UV and RO filter",Backlog,NULL,NULL
196,HaAm15979224,"80 Garang Street",Amina,Hawassa,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
197,AkRu07777224,"130 Ukingo Wa Mto Road",Rural,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
198,HaRu17991224,"42 Lubumbashi Lane",Rural,Hawassa,shared_tap,"Install 8 taps nearby",Backlog,NULL,NULL
199,KiMr25237224,"37 Afrobeats Street",Mrembo,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
200,AkRu07962224,"197 Maji Mema Street",Rural,Akatsi,river,"Drill well",Backlog,NULL,NULL
201,KiRu27581224,"11 Amanpour Avenue",Rural,Kilimani,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
202,KiAm22506224,"71 Bahari Ya Upendo Road",Amara,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
203,AkRu03824224,"157 Lumumba Street",Rural,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
204,HaAm16117224,"105 Kifaru Lumumba Road",Amina,Hawassa,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
205,HaDj16669224,"22 Durban Road",Djenne,Hawassa,well,"Install RO filter",Backlog,NULL,NULL
206,SoRu38418224,"65 Pwani Ya Joto Road",Rural,Sokoto,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
207,KiMr24959224,"61 Mlima Wa Matumaini Street",Mrembo,Kilimani,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
208,KiAm22029224,"6 Lome Street",Amara,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
209,AmPw12493224,"33 Jengo Street",Pwani,Amanzi,shared_tap,"Install 1 taps nearby",Backlog,NULL,NULL
210,AkLu02631224,"80 Papa Wemba Road",Lusaka,Akatsi,well,"Install UV and RO filter",Backlog,NULL,NULL
211,SoCh31950224,"42 Bamako Road",Cheche,Sokoto,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
212,SoKo33117224,"53 Biko Avenue",Kofi,Sokoto,well,"Install UV and RO filter",Backlog,NULL,NULL
213,AmDa12215224,"64 Angélique Kidjo Avenue",Dahabu,Amanzi,well,"Install RO filter",Backlog,NULL,NULL
214,SoRu37830224,"108 Kuku Kenyatta Road",Rural,Sokoto,river,"Drill well",Backlog,NULL,NULL
215,AmRu14093224,"27 Senghor Way",Rural,Amanzi,well,"Install RO filter",Backlog,NULL,NULL
216,AmAs10742224,"147 Jangwa La Fisi Street",Asmara,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
217,AmPw12629224,"56 Lagos Street",Pwani,Amanzi,river,"Drill well",Backlog,NULL,NULL
218,SoIl32783224,"82 Bahari Tamu Road",Ilanga,Sokoto,well,"Install UV and RO filter",Backlog,NULL,NULL
219,AkRu05733224,"12 Ramaphosa Road",Rural,Akatsi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
220,KiAm22435224,"31 Bahari Ya Kupendeza Drive",Amara,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
221,HaRu19447224,"104 Mnyama Dangote Road",Rural,Hawassa,shared_tap,"Install 1 taps nearby",Backlog,NULL,NULL
222,SoRu39284224,"26 Shakira Drive",Rural,Sokoto,well,"Install RO filter",Backlog,NULL,NULL
223,KiIs24167224,"18 Kiboko Senghor Road",Isiqalo,Kilimani,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
224,HaRu20784224,"198 Tuku Street",Rural,Hawassa,shared_tap,"Install 7 taps nearby",Backlog,NULL,NULL
225,AkLu01927224,"46 Lilongwe Street",Lusaka,Akatsi,shared_tap,"Install 1 taps nearby",Backlog,NULL,NULL
