province_name,town_name,type_of_water_source,number_of_people_served,visit_count
Akatsi,Rural,shared_tap,1694,1
Hawassa,Rural,well,210,1
Kilimani,Rural,well,208,1
Kilimani,Rural,tap_in_home,854,1
Amanzi,Rural,tap_in_home_broken,514,1
Kilimani,Rural,tap_in_home,594,1
Amanzi,Dahabu,tap_in_home,700,1
Sokoto,Rural,tap_in_home,718,1
Akatsi,Kintampo,tap_in_home,636,1
Akatsi,Rural,well,308,1
Kilimani,Rural,tap_in_home_broken,834,1
Sokoto,Rural,river,846,1
Kilimani,Rural,well,216,1
Akatsi,Rural,tap_in_home,972,1
Hawassa,Rural,tap_in_home,400,1
Amanzi,Abidjan,tap_in_home_broken,822,1
Kilimani,Harare,tap_in_home,348,1
Akatsi,Rural,well,170,1
Amanzi,Asmara,river,988,1
Amanzi,Amina,shared_tap,2324,1
Hawassa,Rural,shared_tap,3168,1
Amanzi,Amina,tap_in_home_broken,736,1
Akatsi,Rural,shared_tap,2160,1
Kilimani,Rural,river,760,1
Hawassa,Rural,tap_in_home,850,1
Sokoto,Rural,river,978,1
Amanzi,Bello,tap_in_home,526,1
Sokoto,Rural,shared_tap,3526,1
Amanzi,Rural,tap_in_home_broken,958,1
Amanzi,Rural,tap_in_home_broken,644,1
Kilimani,Rural,tap_in_home,990,1
Kilimani,Rural,well,232,1
Akatsi,Rural,well,338,1
Amanzi,Rural,tap_in_home_broken,698,1
Amanzi,Rural,tap_in_home,360,1
Hawassa,Rural,well,202,1
Sokoto,Kofi,shared_tap,2454,1
Hawassa,Serowe,well,314,1
Hawassa,Rural,shared_tap,718,1
Sokoto,Rural,tap_in_home,396,1
Akatsi,Rural,well,390,1
Hawassa,Deka,well,308,1
Akatsi,Rural,river,846,1
Akatsi,Harare,well,352,1
Amanzi,Rural,shared_tap,1996,1
Akatsi,Harare,tap_in_home,826,1
Amanzi,Rural,tap_in_home_broken,518,1
Akatsi,Kintampo,well,346,1
Akatsi,Rural,well,302,1
Amanzi,Dahabu,shared_tap,594,1
Akatsi,Harare,tap_in_home_broken,732,1
Hawassa,Deka,tap_in_home_broken,992,1
Hawassa,Serowe,well,348,1
Sokoto,Rural,well,196,1
Akatsi,Rural,well,330,1
Hawassa,Rural,shared_tap,1626,1
Akatsi,Rural,well,314,1
Hawassa,Serowe,tap_in_home_broken,556,1
Kilimani,Mrembo,well,248,1
Sokoto,Rural,well,288,1
Akatsi,Rural,well,214,1
Amanzi,Rural,tap_in_home,640,1
Sokoto,Rural,tap_in_home,628,1
Kilimani,Rural,well,302,1
Kilimani,Rural,well,386,1
Kilimani,Mrembo,well,242,1
Akatsi,Rural,well,164,1
Sokoto,Majengo,tap_in_home,366,1
Kilimani,Zuri,well,186,1
Hawassa,Rural,well,210,1
Kilimani,Rural,well,270,1
Sokoto,Rural,shared_tap,3816,1
Kilimani,Rural,well,302,1
Kilimani,Rural,shared_tap,3944,1
Kilimani,Rural,well,296,1
Kilimani,Rural,shared_tap,2100,1
Amanzi,Abidjan,tap_in_home,888,1
Akatsi,Rural,shared_tap,2384,1
Hawassa,Rural,well,348,1
Amanzi,Dahabu,shared_tap,238,1
Kilimani,Zuri,tap_in_home_broken,648,1
Amanzi,Rural,tap_in_home,960,1
Akatsi,Harare,well,186,1
Kilimani,Isiqalo,well,266,1
Kilimani,Rural,shared_tap,1068,1
Akatsi,Rural,well,314,1
Amanzi,Abidjan,tap_in_home,494,1
Sokoto,Rural,well,242,1
Kilimani,Rural,tap_in_home_broken,716,1
Sokoto,Bahari,well,208,1
Akatsi,Rural,tap_in_home,822,1
Sokoto,Kofi,well,286,1
Sokoto,Rural,tap_in_home_broken,874,1
Kilimani,Mrembo,tap_in_home_broken,422,1
Kilimani,Rural,shared_tap,1698,1
Amanzi,Dahabu,tap_in_home,608,1
Akatsi,Rural,well,332,1
Akatsi,Lusaka,tap_in_home,672,1
Akatsi,Rural,well,206,1
Amanzi,Pwani,tap_in_home_broken,538,1
Kilimani,Rural,well,282,1
Amanzi,Asmara,shared_tap,1260,1
Sokoto,Rural,well,322,1
Akatsi,Kintampo,well,196,1
Hawassa,Rural,tap_in_home_broken,484,1
Kilimani,Rural,tap_in_home,774,1
Amanzi,Amina,tap_in_home_broken,416,1
Amanzi,Amina,tap_in_home_broken,538,1
Sokoto,Cheche,tap_in_home,960,1
Akatsi,Rural,shared_tap,1550,1
Sokoto,Rural,well,324,1
Kilimani,Rural,well,250,1
Kilimani,Rural,well,162,1
Akatsi,Rural,well,296,1
Sokoto,Kofi,tap_in_home,484,1
Kilimani,Rural,well,258,1
Sokoto,Ilanga,tap_in_home,912,1
Hawassa,Rural,well,186,1
Kilimani,Rural,tap_in_home,580,1
Akatsi,Rural,well,380,1
Akatsi,Harare,well,312,1
Hawassa,Rural,well,396,1
Sokoto,Rural,well,278,1
Kilimani,Rural,well,246,1
Hawassa,Rural,well,232,1
Kilimani,Zuri,shared_tap,910,1
Akatsi,Lusaka,tap_in_home_broken,638,1
Amanzi,Dahabu,tap_in_home,800,1
Kilimani,Rural,tap_in_home,446,1
Kilimani,Rural,river,654,1
Akatsi,Lusaka,well,294,1
Kilimani,Zuri,well,248,1
Kilimani,Amara,tap_in_home_broken,306,1
Amanzi,Rural,tap_in_home_broken,662,1
Hawassa,Rural,well,178,1
Amanzi,Abidjan,tap_in_home_broken,868,1
Kilimani,Rural,well,270,1
Sokoto,Majengo,shared_tap,1520,1
Akatsi,Rural,well,264,1
Hawassa,Amina,tap_in_home_broken,670,1
Amanzi,Dahabu,tap_in_home,838,1
Amanzi,Abidjan,well,338,1
Akatsi,Rural,tap_in_home,730,1
Kilimani,Rural,well,262,1
Sokoto,Rural,river,714,1
Sokoto,Rural,river,722,1
Kilimani,Harare,well,374,1
Hawassa,Deka,well,320,1
Akatsi,Rural,well,188,1
Sokoto,Bahari,tap_in_home,462,1
Kilimani,Harare,well,308,1
Amanzi,Asmara,tap_in_home_broken,484,1
Hawassa,Rural,well,360,1
Hawassa,Yaounde,well,362,1
Kilimani,Rural,shared_tap,1352,1
Kilimani,Rural,river,712,1
Amanzi,Rural,well,360,1
Amanzi,Rural,tap_in_home_broken,460,1
Amanzi,Rural,shared_tap,3618,1
Kilimani,Rural,well,264,1
Hawassa,Amina,tap_in_home_broken,744,1
Hawassa,Serowe,well,214,1
Kilimani,Isiqalo,well,182,1
Kilimani,Rural,well,288,1
Kilimani,Mrembo,tap_in_home,308,1
Akatsi,Rural,well,160,1
Amanzi,Rural,tap_in_home_broken,402,1
Sokoto,Marang,tap_in_home_broken,896,1
Sokoto,Rural,shared_tap,2446,1
Amanzi,Rural,well,172,1
Hawassa,Rural,tap_in_home,434,1
Sokoto,Rural,well,330,1
Akatsi,Lusaka,well,394,1
Sokoto,Kofi,well,334,1
Kilimani,Zuri,tap_in_home_broken,780,1
Akatsi,Rural,shared_tap,1894,1
Hawassa,Serowe,tap_in_home_broken,464,1
Amanzi,Asmara,shared_tap,1126,1
Sokoto,Rural,well,240,1
Akatsi,Rural,well,290,1
Hawassa,Rural,tap_in_home,606,1
Hawassa,Amina,tap_in_home_broken,660,1
Akatsi,Rural,well,286,1
Hawassa,Djenne,tap_in_home,946,1
Hawassa,Rural,tap_in_home,722,1
Hawassa,Rural,shared_tap,3772,1
Kilimani,Mrembo,well,386,1
Akatsi,Rural,river,782,1
Akatsi,Rural,tap_in_home,406,1
Kilimani,Zuri,tap_in_home,706,1
Kilimani,Isiqalo,tap_in_home,886,1
Kilimani,Rural,tap_in_home_broken,666,1
Kilimani,Amara,well,354,1
Akatsi,Rural,well,172,1
Hawassa,Amina,tap_in_home_broken,704,1
Hawassa,Djenne,well,232,1
Sokoto,Rural,tap_in_home_broken,516,1
Akatsi,Rural,tap_in_home,998,1
Kilimani,Mrembo,tap_in_home_broken,908,1
Kilimani,Amara,well,308,1
Amanzi,Pwani,shared_tap,3862,1
Akatsi,Lusaka,well,166,1
Sokoto,Cheche,tap_in_home_broken,568,1
Amanzi,Rural,tap_in_home,310,1
Sokoto,Kofi,well,296,1
Amanzi,Dahabu,well,184,1
Sokoto,Bahari,tap_in_home,804,1
Hawassa,Rural,well,174,1
Hawassa,Rural,well,194,1
Sokoto,Rural,river,840,1
Amanzi,Rural,well,220,1
Amanzi,Asmara,tap_in_home_broken,420,1
Amanzi,Pwani,river,602,1
Sokoto,Ilanga,well,288,1
Akatsi,Rural,tap_in_home_broken,378,1
Kilimani,Amara,well,328,1
Kilimani,Mrembo,tap_in_home,652,1
Hawassa,Rural,tap_in_home,304,1
Hawassa,Rural,shared_tap,3626,1
Sokoto,Rural,well,254,1
Kilimani,Isiqalo,tap_in_home_broken,820,1
Kilimani,Mrembo,tap_in_home,978,1
Amanzi,Rural,tap_in_home,636,1
Akatsi,Rural,well,350,1
Kilimani,Zuri,well,360,1
Hawassa,Rural,shared_tap,2636,1
Kilimani,Rural,shared_tap,1974,1
Akatsi,Lusaka,shared_tap,3848,1
Sokoto,Rural,well,292,1
Akatsi,Harare,tap_in_home,560,1
Amanzi,Bello,tap_in_home,642,1
Sokoto,Majengo,shared_tap,706,1
Amanzi,Rural,well,300,1
Kilimani,Rural,shared_tap,2628,1
Hawassa,Yaounde,well,194,1
Sokoto,Rural,shared_tap,478,1
Hawassa,Rural,well,342,1
Akatsi,Rural,well,192,1
Akatsi,Lusaka,well,176,1
Amanzi,Rural,tap_in_home_broken,928,1
Kilimani,Rural,tap_in_home_broken,334,1
Kilimani,Rural,tap_in_home,622,1
Hawassa,Rural,shared_tap,2928,1
Hawassa,Rural,tap_in_home,974,1
Sokoto,Rural,well,336,1
Akatsi,Lusaka,well,380,1
Sokoto,Marang,tap_in_home,918,1
Amanzi,Rural,well,210,1
Hawassa,Rural,well,350,1
Kilimani,Rural,well,196,1
Kilimani,Harare,tap_in_home_broken,378,1
Sokoto,Majengo,tap_in_home,810,1
Akatsi,Rural,well,196,1
Sokoto,Rural,shared_tap,3058,1
Amanzi,Dahabu,tap_in_home,374,1
Hawassa,Rural,tap_in_home_broken,632,1
Kilimani,Isiqalo,well,170,1
Amanzi,Rural,shared_tap,316,1
Amanzi,Dahabu,tap_in_home,906,1
Sokoto,Ilanga,well,318,1
Amanzi,Rural,well,212,1
Hawassa,Rural,tap_in_home_broken,968,1
Hawassa,Amina,tap_in_home,890,1
Amanzi,Dahabu,tap_in_home,844,1
Sokoto,Ilanga,tap_in_home,366,1
Sokoto,Rural,well,258,1
Hawassa,Rural,river,732,1
Akatsi,Kintampo,well,204,1
Amanzi,Abidjan,tap_in_home,610,1
Amanzi,Amina,tap_in_home_broken,986,1
Akatsi,Rural,tap_in_home,456,1
Akatsi,Rural,shared_tap,430,1
Akatsi,Rural,well,300,1
Kilimani,Amara,well,256,1
Amanzi,Rural,tap_in_home_broken,572,1
Sokoto,Kofi,well,384,1
Akatsi,Rural,shared_tap,1436,1
Hawassa,Rural,well,162,1
Kilimani,Zuri,river,536,1
Sokoto,Rural,well,390,1
Kilimani,Rural,well,388,1
Amanzi,Dahabu,tap_in_home,750,1
Sokoto,Rural,tap_in_home,932,1
Akatsi,Rural,shared_tap,2946,1
Sokoto,Rural,tap_in_home,518,1
Hawassa,Rural,shared_tap,848,1
Amanzi,Rural,tap_in_home,940,1
Sokoto,Ilanga,river,494,1
Hawassa,Rural,well,310,1
Akatsi,Kintampo,tap_in_home_broken,616,1
Sokoto,Rural,river,594,1
Akatsi,Rural,tap_in_home_broken,880,1
Sokoto,Rural,tap_in_home,822,1
Sokoto,Ilanga,well,384,1
Sokoto,Rural,well,292,1
Kilimani,Isiqalo,well,160,1
Amanzi,Asmara,tap_in_home,654,1
Amanzi,Rural,shared_tap,3312,1
Akatsi,Rural,well,204,1
Sokoto,Cheche,well,242,1
Kilimani,Rural,shared_tap,1902,1
Sokoto,Ilanga,tap_in_home_broken,442,1
Kilimani,Mrembo,well,164,1
Hawassa,Rural,river,682,1
Amanzi,Rural,shared_tap,2516,1
Akatsi,Lusaka,well,278,1
Kilimani,Rural,well,356,1
Sokoto,Cheche,shared_tap,3606,1
Akatsi,Rural,well,218,1
Kilimani,Rural,well,204,1
Kilimani,Zuri,tap_in_home,444,1
Akatsi,Kintampo,well,372,1
Akatsi,Rural,well,202,1
Hawassa,Rural,shared_tap,3796,1
Kilimani,Zuri,tap_in_home_broken,548,1
Amanzi,Amina,shared_tap,332,1
Sokoto,Rural,river,600,1
Amanzi,Dahabu,river,600,1
Akatsi,Harare,tap_in_home,794,1
Kilimani,Isiqalo,well,312,1
Kilimani,Mrembo,well,180,1
Sokoto,Rural,well,316,1
Kilimani,Rural,well,396,1
Kilimani,Rural,shared_tap,1758,1
Akatsi,Rural,tap_in_home,512,1
Sokoto,Rural,river,650,1
Hawassa,Amina,well,214,1
Amanzi,Dahabu,well,372,1
Akatsi,Kintampo,tap_in_home_broken,982,1
Kilimani,Zuri,river,806,1
Akatsi,Lusaka,well,166,1
Kilimani,Mrembo,well,372,1
Akatsi,Rural,well,358,1
Amanzi,Asmara,river,536,1
Hawassa,Deka,tap_in_home_broken,308,1
Kilimani,Rural,well,174,1
Amanzi,Pwani,shared_tap,726,1
Kilimani,Rural,tap_in_home,786,1
Kilimani,Mrembo,tap_in_home,390,1
Kilimani,Rural,river,866,1
Sokoto,Rural,well,396,1
Sokoto,Rural,tap_in_home,832,1
Kilimani,Amara,well,250,1
Kilimani,Isiqalo,well,370,1
Sokoto,Rural,river,774,1
Kilimani,Rural,well,220,1
Akatsi,Kintampo,tap_in_home_broken,812,1
Amanzi,Rural,well,258,1
Kilimani,Zuri,shared_tap,1234,1
Akatsi,Harare,tap_in_home_broken,726,1
Hawassa,Rural,well,202,1
Akatsi,Rural,well,212,1
Kilimani,Isiqalo,tap_in_home,624,1
Sokoto,Rural,river,822,1
Kilimani,Rural,tap_in_home,770,1
Hawassa,Rural,tap_in_home,436,1
Kilimani,Amara,river,908,1
Hawassa,Rural,well,264,1
Sokoto,Rural,river,856,1
Amanzi,Pwani,tap_in_home_broken,712,1
Amanzi,Amina,tap_in_home,704,1
Sokoto,Rural,river,882,1
Kilimani,Rural,well,294,1
Amanzi,Pwani,tap_in_home,576,1
Akatsi,Rural,well,222,1
Akatsi,Lusaka,tap_in_home,722,1
Kilimani,Amara,well,300,1
Akatsi,Rural,tap_in_home,816,1
Akatsi,Rural,well,230,1
Hawassa,Rural,well,348,1
Amanzi,Rural,well,260,1
Hawassa,Zanzibar,tap_in_home,736,1
Akatsi,Rural,shared_tap,1534,1
Amanzi,Asmara,well,250,1
Kilimani,Rural,well,312,1
Amanzi,Rural,well,218,1
Kilimani,Rural,river,464,1
Kilimani,Rural,tap_in_home_broken,404,1
Kilimani,Rural,well,222,1
Kilimani,Zuri,shared_tap,766,1
Kilimani,Rural,well,232,1
Hawassa,Djenne,well,290,1
Hawassa,Rural,shared_tap,1476,1
Kilimani,Rural,well,300,1
Sokoto,Rural,shared_tap,2784,1
Kilimani,Rural,shared_tap,716,1
Kilimani,Rural,shared_tap,3308,1
Sokoto,Rural,tap_in_home_broken,744,1
Hawassa,Rural,tap_in_home_broken,430,1
Kilimani,Isiqalo,tap_in_home,838,1
Amanzi,Pwani,tap_in_home,362,1
Hawassa,Deka,tap_in_home,666,1
Amanzi,Pwani,tap_in_home,616,1
Hawassa,Serowe,well,164,1
Sokoto,Rural,well,238,1
Kilimani,Mrembo,tap_in_home,850,1
Sokoto,Rural,river,416,1
Sokoto,Rural,river,536,1
Hawassa,Rural,well,272,1
Sokoto,Kofi,tap_in_home,532,1
Kilimani,Mrembo,well,326,1
Sokoto,Rural,well,264,1
Sokoto,Ilanga,tap_in_home_broken,804,1
Sokoto,Rural,shared_tap,2324,1
Sokoto,Ilanga,tap_in_home_broken,364,1
Amanzi,Rural,tap_in_home,442,1
Amanzi,Abidjan,tap_in_home_broken,422,1
Akatsi,Kintampo,well,248,1
Amanzi,Rural,tap_in_home,704,1
Kilimani,Rural,tap_in_home_broken,634,1
Amanzi,Dahabu,tap_in_home,476,1
Akatsi,Rural,shared_tap,1164,1
Hawassa,Rural,well,294,1
Akatsi,Harare,tap_in_home,328,1
Akatsi,Rural,well,308,1
Sokoto,Rural,shared_tap,3278,1
Kilimani,Rural,shared_tap,942,1
Sokoto,Rural,well,320,1
Hawassa,Serowe,well,296,1
Kilimani,Rural,well,168,1
Hawassa,Zanzibar,tap_in_home_broken,818,1
Akatsi,Lusaka,tap_in_home,912,1
Kilimani,Zuri,tap_in_home,978,1
Akatsi,Rural,shared_tap,3830,1
Akatsi,Rural,well,244,1
Sokoto,Rural,tap_in_home_broken,538,1
Kilimani,Amara,well,324,1
Amanzi,Pwani,tap_in_home_broken,716,1
Sokoto,Rural,tap_in_home,804,1
Amanzi,Asmara,shared_tap,1444,1
Akatsi,Rural,well,220,1
Akatsi,Rural,well,322,1
Kilimani,Rural,shared_tap,850,1
Akatsi,Rural,tap_in_home,908,1
Sokoto,Rural,shared_tap,3662,1
Kilimani,Zuri,well,200,1
Kilimani,Harare,river,624,1
Hawassa,Amina,tap_in_home,310,1
Sokoto,Rural,shared_tap,2204,1
Kilimani,Rural,well,238,1
Sokoto,Rural,tap_in_home,504,1
Sokoto,Rural,shared_tap,2644,1
Hawassa,Rural,tap_in_home_broken,626,1
Amanzi,Amina,river,426,1
Sokoto,Rural,well,378,1
Akatsi,Rural,well,346,1
Sokoto,Rural,well,294,1
Amanzi,Rural,tap_in_home,798,1
Amanzi,Rural,well,238,1
Hawassa,Rural,shared_tap,1824,1
Amanzi,Amina,tap_in_home_broken,614,1
Kilimani,Rural,shared_tap,210,1
Kilimani,Rural,tap_in_home,408,1
Kilimani,Harare,tap_in_home_broken,638,1
Kilimani,Rural,river,796,1
Akatsi,Rural,well,166,1
Akatsi,Rural,tap_in_home,866,1
Amanzi,Rural,tap_in_home_broken,392,1
Kilimani,Harare,tap_in_home,998,1
Hawassa,Rural,well,332,1
Sokoto,Rural,river,586,1
Sokoto,Cheche,well,190,1
Hawassa,Rural,shared_tap,1408,1
Hawassa,Rural,tap_in_home,772,1
Amanzi,Rural,well,348,1
Akatsi,Rural,river,758,1
Amanzi,Rural,tap_in_home_broken,414,1
Hawassa,Serowe,well,222,1
Akatsi,Rural,well,302,1
Kilimani,Isiqalo,well,230,1
Sokoto,Rural,well,250,1
Sokoto,Kofi,tap_in_home,826,1
Amanzi,Amina,well,394,1
Kilimani,Rural,tap_in_home,644,1
Amanzi,Rural,well,382,1
Akatsi,Lusaka,well,230,1
Kilimani,Rural,shared_tap,1530,1
Hawassa,Rural,well,268,1
Kilimani,Harare,well,322,1
Amanzi,Rural,tap_in_home,998,1
Sokoto,Rural,well,204,1
Kilimani,Rural,shared_tap,2734,1
Sokoto,Rural,well,346,1
Kilimani,Harare,tap_in_home_broken,440,1
Hawassa,Amina,well,176,1
Sokoto,Rural,tap_in_home,306,1
Sokoto,Marang,tap_in_home_broken,720,1
Kilimani,Harare,shared_tap,3314,1
Kilimani,Mrembo,well,328,1
Hawassa,Rural,well,320,1
Hawassa,Rural,river,622,1
Akatsi,Rural,well,318,1
Sokoto,Bahari,river,576,1
Amanzi,Pwani,tap_in_home,580,1
Akatsi,Rural,well,284,1
Sokoto,Rural,well,392,1
Sokoto,Ilanga,tap_in_home,916,1
Amanzi,Rural,tap_in_home,992,1
Kilimani,Rural,shared_tap,3004,1
Amanzi,Rural,river,504,1
Sokoto,Rural,river,552,1
Akatsi,Rural,well,290,1
Amanzi,Rural,well,370,1
Kilimani,Amara,river,580,1
Kilimani,Rural,well,242,1
Hawassa,Amina,well,298,1
Kilimani,Rural,well,270,1
Akatsi,Rural,shared_tap,350,1
Sokoto,Rural,river,650,1
Amanzi,Pwani,shared_tap,984,1
Sokoto,Majengo,well,170,1
Akatsi,Rural,well,220,1
Sokoto,Rural,well,290,1
Amanzi,Rural,well,318,1
Hawassa,Deka,well,340,1
Amanzi,Rural,tap_in_home_broken,500,1
Akatsi,Rural,well,382,1
Hawassa,Rural,well,350,1
Hawassa,Rural,tap_in_home_broken,412,1
Amanzi,Rural,shared_tap,386,1
Sokoto,Rural,shared_tap,3328,1
Kilimani,Zuri,tap_in_home_broken,880,1
Akatsi,Rural,well,224,1
Kilimani,Rural,tap_in_home,450,1
Hawassa,Zanzibar,well,178,1
Sokoto,Rural,shared_tap,326,1
Kilimani,Rural,well,160,1
Amanzi,Asmara,tap_in_home_broken,422,1
Amanzi,Dahabu,tap_in_home,694,1
Akatsi,Rural,well,260,1
Kilimani,Rural,well,382,1
Kilimani,Harare,tap_in_home,352,1
Hawassa,Rural,shared_tap,548,1
Amanzi,Amina,tap_in_home_broken,754,1
Kilimani,Rural,tap_in_home,352,1
Sokoto,Rural,well,184,1
Hawassa,Rural,well,172,1
Sokoto,Kofi,well,186,1
Kilimani,Rural,tap_in_home_broken,908,1
Amanzi,Amina,tap_in_home_broken,380,1
Kilimani,Isiqalo,well,278,1
Hawassa,Deka,well,264,1
Akatsi,Rural,tap_in_home_broken,678,1
Kilimani,Isiqalo,well,302,1
Hawassa,Rural,shared_tap,2580,1
Hawassa,Deka,well,222,1
Akatsi,Rural,well,312,1
Sokoto,Marang,river,518,1
Amanzi,Rural,tap_in_home,988,1
Akatsi,Rural,well,244,1
Kilimani,Zuri,river,504,1
Hawassa,Rural,shared_tap,2170,1
Hawassa,Rural,well,224,1
Amanzi,Bello,tap_in_home_broken,570,1
Sokoto,Rural,tap_in_home_broken,476,1
Sokoto,Rural,shared_tap,3096,1
Akatsi,Kintampo,well,368,1
Kilimani,Rural,well,306,1
Akatsi,Rural,well,190,1
Hawassa,Rural,well,284,1
Amanzi,Rural,tap_in_home,422,1
Hawassa,Rural,shared_tap,3748,1
Kilimani,Rural,tap_in_home,316,1
