type_of_water_source,town_name,province_name,location_type,number_of_people_served,time_in_queue,results
tap_in_home,Isiqalo,Kilimani,Urban,690,0,NULL
tap_in_home,Dahabu,Amanzi,Urban,640,0,NULL
well,Harare,Akatsi,Urban,238,0,Clean
shared_tap,Rural,Akatsi,Rural,288,16,NULL
well,Harare,Akatsi,Urban,252,0,"Contaminated: Chemical"
tap_in_home,Rural,Hawassa,Rural,832,0,NULL
tap_in_home,Rural,Amanzi,Rural,362,0,NULL
tap_in_home_broken,Serowe,Hawassa,Urban,940,0,NULL
well,Rural,Sokoto,Rural,162,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,264,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,790,0,NULL
tap_in_home,Rural,Amanzi,Rural,382,0,NULL
tap_in_home_broken,Lusaka,Akatsi,Urban,988,0,NULL
well,Rural,Sokoto,Rural,358,0,"Contaminated: Chemical"
well,Djenne,Hawassa,Urban,216,0,"Contaminated: Biological"
tap_in_home,Rural,Amanzi,Rural,678,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,706,0,NULL
tap_in_home_broken,Zuri,Kilimani,Urban,650,0,NULL
shared_tap,Pwani,Amanzi,Urban,1822,24,NULL
well,Rural,Hawassa,Rural,224,0,"Contaminated: Biological"
tap_in_home,Deka,Hawassa,Urban,578,0,NULL
shared_tap,Rural,Hawassa,Rural,2880,29,NULL
well,Rural,Akatsi,Rural,202,0,Clean
well,Serowe,Hawassa,Urban,374,0,Clean
well,Rural,Akatsi,Rural,332,0,"Contaminated: Chemical"
well,Amara,Kilimani,Urban,204,0,"Contaminated: Chemical"
tap_in_home,Lusaka,Akatsi,Urban,470,0,NULL
tap_in_home,Rural,Amanzi,Rural,762,0,NULL
shared_tap,Rural,Sokoto,Rural,496,59,NULL
well,Lusaka,Akatsi,Urban,340,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Amanzi,Rural,704,0,NULL
well,Deka,Hawassa,Urban,306,0,"Contaminated: Biological"
well,Rural,Sokoto,Rural,396,0,"Contaminated: Chemical"
well,Amina,Amanzi,Urban,362,0,Clean
tap_in_home_broken,Rural,Hawassa,Rural,726,0,NULL
tap_in_home_broken,Rural,Akatsi,Rural,664,0,NULL
shared_tap,Mrembo,Kilimani,Urban,1380,123,NULL
tap_in_home_broken,Rural,Akatsi,Rural,808,0,NULL
well,Cheche,Sokoto,Urban,288,0,"Contaminated: Chemical"
tap_in_home_broken,Ilanga,Sokoto,Urban,768,0,NULL
river,Kofi,Sokoto,Urban,754,14,NULL
well,Rural,Hawassa,Rural,178,0,"Contaminated: Biological"
tap_in_home,Asmara,Amanzi,Urban,776,0,NULL
tap_in_home_broken,Lusaka,Akatsi,Urban,880,0,NULL
well,Amina,Hawassa,Urban,332,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,228,0,"Contaminated: Chemical"
well,Harare,Kilimani,Urban,260,0,Clean
river,Rural,Sokoto,Rural,536,9,NULL
well,Rural,Kilimani,Rural,368,0,"Contaminated: Biological"
tap_in_home,Yaounde,Hawassa,Urban,846,0,NULL
tap_in_home,Bahari,Sokoto,Urban,752,0,NULL
well,Dahabu,Amanzi,Urban,256,0,Clean
tap_in_home_broken,Rural,Akatsi,Rural,318,0,NULL
tap_in_home_broken,Rural,Sokoto,Rural,328,0,NULL
tap_in_home_broken,Rural,Sokoto,Rural,676,0,NULL
river,Rural,Akatsi,Rural,622,10,NULL
tap_in_home,Rural,Kilimani,Rural,818,0,NULL
well,Djenne,Hawassa,Urban,218,0,"Contaminated: Chemical"
river,Serowe,Hawassa,Urban,906,14,NULL
tap_in_home_broken,Amina,Amanzi,Urban,806,0,NULL
tap_in_home_broken,Pwani,Amanzi,Urban,690,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,452,0,NULL
well,Rural,Kilimani,Rural,340,0,Clean
well,Rural,Hawassa,Rural,282,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Amanzi,Rural,946,0,NULL
well,Marang,Sokoto,Urban,216,0,Clean
well,Rural,Akatsi,Rural,166,0,Clean
well,Amara,Kilimani,Urban,260,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,212,0,"Contaminated: Chemical"
shared_tap,Rural,Akatsi,Rural,1286,21,NULL
tap_in_home_broken,Rural,Sokoto,Rural,958,0,NULL
tap_in_home,Rural,Akatsi,Rural,516,0,NULL
well,Rural,Akatsi,Rural,276,0,"Contaminated: Biological"
tap_in_home,Harare,Kilimani,Urban,618,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,990,0,NULL
well,Bello,Amanzi,Urban,382,0,Clean
shared_tap,Rural,Hawassa,Rural,1402,22,NULL
shared_tap,Bello,Amanzi,Urban,944,19,NULL
tap_in_home,Rural,Sokoto,Rural,980,0,NULL
tap_in_home,Rural,Akatsi,Rural,528,0,NULL
river,Rural,Sokoto,Rural,838,14,NULL
tap_in_home_broken,Amina,Amanzi,Urban,778,0,NULL
shared_tap,Zuri,Kilimani,Urban,3360,240,NULL
tap_in_home,Zuri,Kilimani,Urban,386,0,NULL
well,Rural,Kilimani,Rural,370,0,"Contaminated: Chemical"
tap_in_home,Rural,Amanzi,Rural,756,0,NULL
well,Rural,Kilimani,Rural,168,0,Clean
tap_in_home,Harare,Akatsi,Urban,584,0,NULL
tap_in_home_broken,Isiqalo,Kilimani,Urban,796,0,NULL
shared_tap,Amina,Hawassa,Urban,270,42,NULL
tap_in_home,Harare,Akatsi,Urban,446,0,NULL
tap_in_home_broken,Serowe,Hawassa,Urban,746,0,NULL
tap_in_home,Isiqalo,Kilimani,Urban,916,0,NULL
well,Rural,Amanzi,Rural,322,0,"Contaminated: Chemical"
river,Bahari,Sokoto,Urban,452,10,NULL
well,Rural,Kilimani,Rural,212,0,"Contaminated: Biological"
shared_tap,Rural,Akatsi,Rural,1442,127,NULL
shared_tap,Asmara,Amanzi,Urban,1788,24,NULL
well,Lusaka,Akatsi,Urban,236,0,Clean
well,Rural,Akatsi,Rural,350,0,"Contaminated: Chemical"
tap_in_home_broken,Amina,Amanzi,Urban,398,0,NULL
tap_in_home,Rural,Sokoto,Rural,774,0,NULL
well,Mrembo,Kilimani,Urban,318,0,"Contaminated: Chemical"
shared_tap,Rural,Akatsi,Rural,1694,145,NULL
well,Rural,Hawassa,Rural,210,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,208,0,"Contaminated: Chemical"
tap_in_home,Rural,Kilimani,Rural,854,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,514,0,NULL
tap_in_home,Rural,Kilimani,Rural,594,0,NULL
tap_in_home,Dahabu,Amanzi,Urban,700,0,NULL
tap_in_home,Rural,Sokoto,Rural,718,0,NULL
tap_in_home,Kintampo,Akatsi,Urban,636,0,NULL
well,Rural,Akatsi,Rural,308,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Kilimani,Rural,834,0,NULL
river,Rural,Sokoto,Rural,846,25,NULL
well,Rural,Kilimani,Rural,216,0,"Contaminated: Chemical"
tap_in_home,Rural,Akatsi,Rural,972,0,NULL
tap_in_home,Rural,Hawassa,Rural,400,0,NULL
tap_in_home_broken,Abidjan,Amanzi,Urban,822,0,NULL
tap_in_home,Harare,Kilimani,Urban,348,0,NULL
well,Rural,Akatsi,Rural,170,0,"Contaminated: Chemical"
river,Asmara,Amanzi,Urban,988,20,NULL
shared_tap,Amina,Amanzi,Urban,2324,27,NULL
shared_tap,Rural,Hawassa,Rural,3168,30,NULL
tap_in_home_broken,Amina,Amanzi,Urban,736,0,NULL
shared_tap,Rural,Akatsi,Rural,2160,179,NULL
river,Rural,Kilimani,Rural,760,5,NULL
tap_in_home,Rural,Hawassa,Rural,850,0,NULL
river,Rural,Sokoto,Rural,978,10,NULL
tap_in_home,Bello,Amanzi,Urban,526,0,NULL
shared_tap,Rural,Sokoto,Rural,3526,30,NULL
tap_in_home_broken,Rural,Amanzi,Rural,958,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,644,0,NULL
tap_in_home,Rural,Kilimani,Rural,990,0,NULL
well,Rural,Kilimani,Rural,232,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,338,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Amanzi,Rural,698,0,NULL
tap_in_home,Rural,Amanzi,Rural,360,0,NULL
well,Rural,Hawassa,Rural,202,0,"Contaminated: Chemical"
shared_tap,Kofi,Sokoto,Urban,2454,27,NULL
well,Serowe,Hawassa,Urban,314,0,Clean
shared_tap,Rural,Hawassa,Rural,718,18,NULL
tap_in_home,Rural,Sokoto,Rural,396,0,NULL
well,Rural,Akatsi,Rural,390,0,"Contaminated: Biological"
well,Deka,Hawassa,Urban,308,0,"Contaminated: Biological"
river,Rural,Akatsi,Rural,846,23,NULL
well,Harare,Akatsi,Urban,352,0,Clean
shared_tap,Rural,Amanzi,Rural,1996,167,NULL
tap_in_home,Harare,Akatsi,Urban,826,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,518,0,NULL
well,Kintampo,Akatsi,Urban,346,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,302,0,Clean
shared_tap,Dahabu,Amanzi,Urban,594,18,NULL
tap_in_home_broken,Harare,Akatsi,Urban,732,0,NULL
tap_in_home_broken,Deka,Hawassa,Urban,992,0,NULL
well,Serowe,Hawassa,Urban,348,0,Clean
well,Rural,Sokoto,Rural,196,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,330,0,Clean
shared_tap,Rural,Hawassa,Rural,1626,23,NULL
well,Rural,Akatsi,Rural,314,0,"Contaminated: Chemical"
tap_in_home_broken,Serowe,Hawassa,Urban,556,0,NULL
well,Mrembo,Kilimani,Urban,248,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,288,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,214,0,Clean
tap_in_home,Rural,Amanzi,Rural,640,0,NULL
tap_in_home,Rural,Sokoto,Rural,628,0,NULL
well,Rural,Kilimani,Rural,302,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,386,0,Clean
well,Mrembo,Kilimani,Urban,242,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,164,0,Clean
tap_in_home,Majengo,Sokoto,Urban,366,0,NULL
well,Zuri,Kilimani,Urban,186,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,210,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,270,0,"Contaminated: Chemical"
shared_tap,Rural,Sokoto,Rural,3816,240,NULL
well,Rural,Kilimani,Rural,302,0,Clean
shared_tap,Rural,Kilimani,Rural,3944,240,NULL
well,Rural,Kilimani,Rural,296,0,"Contaminated: Biological"
shared_tap,Rural,Kilimani,Rural,2100,25,NULL
tap_in_home,Abidjan,Amanzi,Urban,888,0,NULL
shared_tap,Rural,Akatsi,Rural,2384,27,NULL
well,Rural,Hawassa,Rural,348,0,"Contaminated: Chemical"
shared_tap,Dahabu,Amanzi,Urban,238,40,NULL
tap_in_home_broken,Zuri,Kilimani,Urban,648,0,NULL
tap_in_home,Rural,Amanzi,Rural,960,0,NULL
well,Harare,Akatsi,Urban,186,0,"Contaminated: Chemical"
well,Isiqalo,Kilimani,Urban,266,0,Clean
shared_tap,Rural,Kilimani,Rural,1068,100,NULL
well,Rural,Akatsi,Rural,314,0,"Contaminated: Chemical"
tap_in_home,Abidjan,Amanzi,Urban,494,0,NULL
well,Rural,Sokoto,Rural,242,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Kilimani,Rural,716,0,NULL
well,Bahari,Sokoto,Urban,208,0,"Contaminated: Biological"
tap_in_home,Rural,Akatsi,Rural,822,0,NULL
well,Kofi,Sokoto,Urban,286,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Sokoto,Rural,874,0,NULL
tap_in_home_broken,Mrembo,Kilimani,Urban,422,0,NULL
shared_tap,Rural,Kilimani,Rural,1698,146,NULL
tap_in_home,Dahabu,Amanzi,Urban,608,0,NULL
well,Rural,Akatsi,Rural,332,0,Clean
tap_in_home,Lusaka,Akatsi,Urban,672,0,NULL
well,Rural,Akatsi,Rural,206,0,Clean
tap_in_home_broken,Pwani,Amanzi,Urban,538,0,NULL
well,Rural,Kilimani,Rural,282,0,"Contaminated: Chemical"
shared_tap,Asmara,Amanzi,Urban,1260,114,NULL
well,Rural,Sokoto,Rural,322,0,Clean
well,Kintampo,Akatsi,Urban,196,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Hawassa,Rural,484,0,NULL
tap_in_home,Rural,Kilimani,Rural,774,0,NULL
tap_in_home_broken,Amina,Amanzi,Urban,416,0,NULL
tap_in_home_broken,Amina,Amanzi,Urban,538,0,NULL
tap_in_home,Cheche,Sokoto,Urban,960,0,NULL
shared_tap,Rural,Akatsi,Rural,1550,135,NULL
well,Rural,Sokoto,Rural,324,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,250,0,Clean
well,Rural,Kilimani,Rural,162,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,296,0,Clean
tap_in_home,Kofi,Sokoto,Urban,484,0,NULL
well,Rural,Kilimani,Rural,258,0,Clean
tap_in_home,Ilanga,Sokoto,Urban,912,0,NULL
well,Rural,Hawassa,Rural,186,0,"Contaminated: Chemical"
tap_in_home,Rural,Kilimani,Rural,580,0,NULL
well,Rural,Akatsi,Rural,380,0,"Contaminated: Chemical"
well,Harare,Akatsi,Urban,312,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,396,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,278,0,Clean
well,Rural,Kilimani,Rural,246,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,232,0,"Contaminated: Chemical"
shared_tap,Zuri,Kilimani,Urban,910,19,NULL
tap_in_home_broken,Lusaka,Akatsi,Urban,638,0,NULL
tap_in_home,Dahabu,Amanzi,Urban,800,0,NULL
tap_in_home,Rural,Kilimani,Rural,446,0,NULL
river,Rural,Kilimani,Rural,654,28,NULL
well,Lusaka,Akatsi,Urban,294,0,"Contaminated: Biological"
well,Zuri,Kilimani,Urban,248,0,"Contaminated: Biological"
tap_in_home_broken,Amara,Kilimani,Urban,306,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,662,0,NULL
well,Rural,Hawassa,Rural,178,0,"Contaminated: Biological"
tap_in_home_broken,Abidjan,Amanzi,Urban,868,0,NULL
well,Rural,Kilimani,Rural,270,0,Clean
shared_tap,Majengo,Sokoto,Urban,1520,133,NULL
well,Rural,Akatsi,Rural,264,0,"Contaminated: Biological"
tap_in_home_broken,Amina,Hawassa,Urban,670,0,NULL
tap_in_home,Dahabu,Amanzi,Urban,838,0,NULL
well,Abidjan,Amanzi,Urban,338,0,"Contaminated: Biological"
tap_in_home,Rural,Akatsi,Rural,730,0,NULL
well,Rural,Kilimani,Rural,262,0,Clean
river,Rural,Sokoto,Rural,714,14,NULL
river,Rural,Sokoto,Rural,722,7,NULL
well,Harare,Kilimani,Urban,374,0,"Contaminated: Chemical"
well,Deka,Hawassa,Urban,320,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,188,0,Clean
tap_in_home,Bahari,Sokoto,Urban,462,0,NULL
well,Harare,Kilimani,Urban,308,0,"Contaminated: Biological"
tap_in_home_broken,Asmara,Amanzi,Urban,484,0,NULL
well,Rural,Hawassa,Rural,360,0,"Contaminated: Biological"
well,Yaounde,Hawassa,Urban,362,0,"Contaminated: Chemical"
shared_tap,Rural,Kilimani,Rural,1352,21,NULL
river,Rural,Kilimani,Rural,712,10,NULL
well,Rural,Amanzi,Rural,360,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,460,0,NULL
shared_tap,Rural,Amanzi,Rural,3618,30,NULL
well,Rural,Kilimani,Rural,264,0,"Contaminated: Chemical"
tap_in_home_broken,Amina,Hawassa,Urban,744,0,NULL
well,Serowe,Hawassa,Urban,214,0,Clean
well,Isiqalo,Kilimani,Urban,182,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,288,0,"Contaminated: Biological"
tap_in_home,Mrembo,Kilimani,Urban,308,0,NULL
well,Rural,Akatsi,Rural,160,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,402,0,NULL
tap_in_home_broken,Marang,Sokoto,Urban,896,0,NULL
shared_tap,Rural,Sokoto,Rural,2446,200,NULL
well,Rural,Amanzi,Rural,172,0,Clean
tap_in_home,Rural,Hawassa,Rural,434,0,NULL
well,Rural,Sokoto,Rural,330,0,"Contaminated: Chemical"
well,Lusaka,Akatsi,Urban,394,0,Clean
well,Kofi,Sokoto,Urban,334,0,"Contaminated: Biological"
tap_in_home_broken,Zuri,Kilimani,Urban,780,0,NULL
shared_tap,Rural,Akatsi,Rural,1894,24,NULL
tap_in_home_broken,Serowe,Hawassa,Urban,464,0,NULL
shared_tap,Asmara,Amanzi,Urban,1126,20,NULL
well,Rural,Sokoto,Rural,240,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,290,0,Clean
tap_in_home,Rural,Hawassa,Rural,606,0,NULL
tap_in_home_broken,Amina,Hawassa,Urban,660,0,NULL
well,Rural,Akatsi,Rural,286,0,"Contaminated: Chemical"
tap_in_home,Djenne,Hawassa,Urban,946,0,NULL
tap_in_home,Rural,Hawassa,Rural,722,0,NULL
shared_tap,Rural,Hawassa,Rural,3772,240,NULL
well,Mrembo,Kilimani,Urban,386,0,"Contaminated: Biological"
river,Rural,Akatsi,Rural,782,29,NULL
tap_in_home,Rural,Akatsi,Rural,406,0,NULL
tap_in_home,Zuri,Kilimani,Urban,706,0,NULL
tap_in_home,Isiqalo,Kilimani,Urban,886,0,NULL
tap_in_home_broken,Rural,Kilimani,Rural,666,0,NULL
well,Amara,Kilimani,Urban,354,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,172,0,"Contaminated: Chemical"
tap_in_home_broken,Amina,Hawassa,Urban,704,0,NULL
well,Djenne,Hawassa,Urban,232,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Sokoto,Rural,516,0,NULL
tap_in_home,Rural,Akatsi,Rural,998,0,NULL
tap_in_home_broken,Mrembo,Kilimani,Urban,908,0,NULL
well,Amara,Kilimani,Urban,308,0,"Contaminated: Biological"
shared_tap,Pwani,Amanzi,Urban,3862,30,NULL
well,Lusaka,Akatsi,Urban,166,0,"Contaminated: Biological"
tap_in_home_broken,Cheche,Sokoto,Urban,568,0,NULL
tap_in_home,Rural,Amanzi,Rural,310,0,NULL
well,Kofi,Sokoto,Urban,296,0,"Contaminated: Biological"
well,Dahabu,Amanzi,Urban,184,0,"Contaminated: Chemical"
tap_in_home,Bahari,Sokoto,Urban,804,0,NULL
well,Rural,Hawassa,Rural,174,0,Clean
well,Rural,Hawassa,Rural,194,0,Clean
river,Rural,Sokoto,Rural,840,7,NULL
well,Rural,Amanzi,Rural,220,0,"Contaminated: Chemical"
tap_in_home_broken,Asmara,Amanzi,Urban,420,0,NULL
river,Pwani,Amanzi,Urban,602,7,NULL
well,Ilanga,Sokoto,Urban,288,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Akatsi,Rural,378,0,NULL
well,Amara,Kilimani,Urban,328,0,"Contaminated: Biological"
tap_in_home,Mrembo,Kilimani,Urban,652,0,NULL
tap_in_home,Rural,Hawassa,Rural,304,0,NULL
shared_tap,Rural,Hawassa,Rural,3626,30,NULL
well,Rural,Sokoto,Rural,254,0,"Contaminated: Chemical"
tap_in_home_broken,Isiqalo,Kilimani,Urban,820,0,NULL
tap_in_home,Mrembo,Kilimani,Urban,978,0,NULL
tap_in_home,Rural,Amanzi,Rural,636,0,NULL
well,Rural,Akatsi,Rural,350,0,Clean
well,Zuri,Kilimani,Urban,360,0,Clean
shared_tap,Rural,Hawassa,Rural,2636,214,NULL
shared_tap,Rural,Kilimani,Rural,1974,25,NULL
shared_tap,Lusaka,Akatsi,Urban,3848,30,NULL
well,Rural,Sokoto,Rural,292,0,"Contaminated: Biological"
tap_in_home,Harare,Akatsi,Urban,560,0,NULL
tap_in_home,Bello,Amanzi,Urban,642,0,NULL
shared_tap,Majengo,Sokoto,Urban,706,18,NULL
well,Rural,Amanzi,Rural,300,0,"Contaminated: Chemical"
shared_tap,Rural,Kilimani,Rural,2628,28,NULL
well,Yaounde,Hawassa,Urban,194,0,"Contaminated: Chemical"
shared_tap,Rural,Sokoto,Rural,478,57,NULL
well,Rural,Hawassa,Rural,342,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,192,0,Clean
well,Lusaka,Akatsi,Urban,176,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,928,0,NULL
tap_in_home_broken,Rural,Kilimani,Rural,334,0,NULL
tap_in_home,Rural,Kilimani,Rural,622,0,NULL
shared_tap,Rural,Hawassa,Rural,2928,30,NULL
tap_in_home,Rural,Hawassa,Rural,974,0,NULL
well,Rural,Sokoto,Rural,336,0,"Contaminated: Chemical"
well,Lusaka,Akatsi,Urban,380,0,Clean
tap_in_home,Marang,Sokoto,Urban,918,0,NULL
well,Rural,Amanzi,Rural,210,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,350,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,196,0,"Contaminated: Biological"
tap_in_home_broken,Harare,Kilimani,Urban,378,0,NULL
tap_in_home,Majengo,Sokoto,Urban,810,0,NULL
well,Rural,Akatsi,Rural,196,0,"Contaminated: Chemical"
shared_tap,Rural,Sokoto,Rural,3058,240,NULL
tap_in_home,Dahabu,Amanzi,Urban,374,0,NULL
tap_in_home_broken,Rural,Hawassa,Rural,632,0,NULL
well,Isiqalo,Kilimani,Urban,170,0,"Contaminated: Biological"
shared_tap,Rural,Amanzi,Rural,316,46,NULL
tap_in_home,Dahabu,Amanzi,Urban,906,0,NULL
well,Ilanga,Sokoto,Urban,318,0,"Contaminated: Chemical"
well,Rural,Amanzi,Rural,212,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Hawassa,Rural,968,0,NULL
tap_in_home,Amina,Hawassa,Urban,890,0,NULL
tap_in_home,Dahabu,Amanzi,Urban,844,0,NULL
tap_in_home,Ilanga,Sokoto,Urban,366,0,NULL
well,Rural,Sokoto,Rural,258,0,Clean
river,Rural,Hawassa,Rural,732,8,NULL
well,Kintampo,Akatsi,Urban,204,0,Clean
tap_in_home,Abidjan,Amanzi,Urban,610,0,NULL
tap_in_home_broken,Amina,Amanzi,Urban,986,0,NULL
tap_in_home,Rural,Akatsi,Rural,456,0,NULL
shared_tap,Rural,Akatsi,Rural,430,54,NULL
well,Rural,Akatsi,Rural,300,0,Clean
well,Amara,Kilimani,Urban,256,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Amanzi,Rural,572,0,NULL
well,Kofi,Sokoto,Urban,384,0,Clean
shared_tap,Rural,Akatsi,Rural,1436,22,NULL
well,Rural,Hawassa,Rural,162,0,"Contaminated: Chemical"
river,Zuri,Kilimani,Urban,536,21,NULL
well,Rural,Sokoto,Rural,390,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,388,0,"Contaminated: Chemical"
tap_in_home,Dahabu,Amanzi,Urban,750,0,NULL
tap_in_home,Rural,Sokoto,Rural,932,0,NULL
shared_tap,Rural,Akatsi,Rural,2946,30,NULL
tap_in_home,Rural,Sokoto,Rural,518,0,NULL
shared_tap,Rural,Hawassa,Rural,848,84,NULL
tap_in_home,Rural,Amanzi,Rural,940,0,NULL
river,Ilanga,Sokoto,Urban,494,23,NULL
well,Rural,Hawassa,Rural,310,0,"Contaminated: Chemical"
tap_in_home_broken,Kintampo,Akatsi,Urban,616,0,NULL
river,Rural,Sokoto,Rural,594,5,NULL
tap_in_home_broken,Rural,Akatsi,Rural,880,0,NULL
tap_in_home,Rural,Sokoto,Rural,822,0,NULL
well,Ilanga,Sokoto,Urban,384,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,292,0,"Contaminated: Biological"
well,Isiqalo,Kilimani,Urban,160,0,"Contaminated: Biological"
tap_in_home,Asmara,Amanzi,Urban,654,0,NULL
shared_tap,Rural,Amanzi,Rural,3312,240,NULL
well,Rural,Akatsi,Rural,204,0,Clean
well,Cheche,Sokoto,Urban,242,0,Clean
shared_tap,Rural,Kilimani,Rural,1902,160,NULL
tap_in_home_broken,Ilanga,Sokoto,Urban,442,0,NULL
well,Mrembo,Kilimani,Urban,164,0,"Contaminated: Biological"
river,Rural,Hawassa,Rural,682,24,NULL
shared_tap,Rural,Amanzi,Rural,2516,205,NULL
well,Lusaka,Akatsi,Urban,278,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,356,0,Clean
shared_tap,Cheche,Sokoto,Urban,3606,240,NULL
well,Rural,Akatsi,Rural,218,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,204,0,"Contaminated: Chemical"
