address,town_name,province_name,source_id,type_of_water_source,results,Improvement
"12 Simba Road",Rural,Sokoto,SoRu34762224,tap_in_home_broken,NULL,NULL
"4 Koinange Street",Rural,Akatsi,AkRu03586224,well,"Contaminated: Biological","Install UV and RO filter"
"6 Hurghada Street",Rural,Amanzi,AmRu13188224,tap_in_home_broken,NULL,NULL
"59 Kenyatta Avenue",Rural,Sokoto,SoRu35195224,river,NULL,"Drill well"
"60 Zamajobe Avenue",Amina,Amanzi,AmAm09743224,tap_in_home_broken,NULL,NULL
"150 Yaounde Street",Zuri,Kilimani,KiZu30889224,shared_tap,NULL,NULL
"160 Burna Boy Street",Rural,Kilimani,KiRu30163224,well,"Contaminated: Chemical","Install RO filter"
"41 Dodoma Drive",Isiqalo,Kilimani,KiIs23671224,tap_in_home_broken,NULL,NULL
"40 Garang Street",Amina,Hawassa,HaAm15937224,shared_tap,NULL,NULL
"26 Pygmy Trail",Serowe,Hawassa,HaSe20900224,tap_in_home_broken,NULL,NULL
"120 Zinjathropus Street",Rural,Amanzi,AmRu14190224,well,"Contaminated: Chemical","Install RO filter"
"84 Chura Usman Street",Bahari,Sokoto,SoBa31893224,river,NULL,"Drill well"
"34 Praia Avenue",Rural,Kilimani,KiRu26584224,well,"Contaminated: Biological","Install UV and RO filter"
"26 African Skies Street",Rural,Akatsi,AkRu08557224,shared_tap,NULL,NULL
"173 Maji Mema Street",Rural,Akatsi,AkRu07845224,well,"Contaminated: Chemical","Install RO filter"
"7 Accra Avenue",Amina,Amanzi,AmAm09460224,tap_in_home_broken,NULL,NULL
"18 Afrobeats Street",Mrembo,Kilimani,KiMr25146224,well,"Contaminated: Chemical","Install RO filter"
"92 Mbeki Street",Rural,Akatsi,AkRu05911224,shared_tap,NULL,NULL
"160 Tuku Street",Rural,Hawassa,HaRu20767224,well,"Contaminated: Chemical","Install RO filter"
"65 N'Djamena Road",Rural,Kilimani,KiRu26837224,well,"Contaminated: Chemical","Install RO filter"
"195 Hurghada Street",Rural,Amanzi,AmRu13229224,tap_in_home_broken,NULL,NULL
"99 Bissau Street",Rural,Akatsi,AkRu04918224,well,"Contaminated: Chemical","Install RO filter"
"49 Kudu Square",Rural,Kilimani,KiRu25866224,tap_in_home_broken,NULL,NULL
"140 Kamuzu Banda Road",Rural,Sokoto,SoRu36745224,river,NULL,"Drill well"
"68 Sungura Amanpour Road",Rural,Kilimani,KiRu28471224,well,"Contaminated: Chemical","Install RO filter"
"13 Fela Kuti Drive",Abidjan,Amanzi,AmAb09243224,tap_in_home_broken,NULL,NULL
"52 Ukingo Wa Mto Road",Rural,Akatsi,AkRu07713224,well,"Contaminated: Chemical","Install RO filter"
"64 Tembo Road",Asmara,Amanzi,AmAs10139224,river,NULL,"Drill well"
"109 Winnie Mandela Street",Rural,Hawassa,HaRu19111224,shared_tap,NULL,NULL
"18 Accra Avenue",Amina,Amanzi,AmAm09421224,tap_in_home_broken,NULL,NULL
"38 Marrakech Avenue",Rural,Akatsi,AkRu04611224,shared_tap,NULL,NULL
"35 Duma Leakey Road",Rural,Kilimani,KiRu28064224,river,NULL,"Drill well"
"62 Kuku Kenyatta Road",Rural,Sokoto,SoRu37761224,river,NULL,"Drill well"
"77 Monrovia Street",Rural,Sokoto,SoRu35485224,shared_tap,NULL,NULL
"50 Nyama Choma Street",Rural,Amanzi,AmRu14641224,tap_in_home_broken,NULL,NULL
"150 Cairo Road",Rural,Amanzi,AmRu13013224,tap_in_home_broken,NULL,NULL
"40 Uhuru Square",Rural,Kilimani,KiRu25465224,well,"Contaminated: Biological","Install UV and RO filter"
"20 Ukingo Wa Jua Street",Rural,Akatsi,AkRu07262224,well,"Contaminated: Chemical","Install RO filter"
"106 Cairo Road",Rural,Amanzi,AmRu13090224,tap_in_home_broken,NULL,NULL
"47 Tunis Road",Rural,Hawassa,HaRu17749224,well,"Contaminated: Chemical","Install RO filter"
"1 Maji Mema Street",Rural,Akatsi,AkRu07933224,well,"Contaminated: Biological","Install UV and RO filter"
"142 Ndege Tambo Road",Deka,Hawassa,HaDe16434224,well,"Contaminated: Biological","Install UV and RO filter"
"78 Lumumba Street",Rural,Akatsi,AkRu03750224,river,NULL,"Drill well"
"121 Desmond Tutu Road",Rural,Amanzi,AmRu14536224,shared_tap,NULL,NULL
"52 Timbuktu Road",Rural,Amanzi,AmRu13929224,tap_in_home_broken,NULL,NULL
"92 Tunis Street",Kintampo,Akatsi,AkKi01036224,well,"Contaminated: Chemical","Install RO filter"
"131 Yvonne Chaka Street",Harare,Akatsi,AkHa00545224,tap_in_home_broken,NULL,NULL
"77 Yvonne Chaka Road",Deka,Hawassa,HaDe16565224,tap_in_home_broken,NULL,NULL
"124 Soko Soyinka Road",Rural,Sokoto,SoRu37469224,well,"Contaminated: Chemical","Install RO filter"
"78 Ramaphosa Road",Rural,Akatsi,AkRu05768224,well,"Contaminated: Chemical","Install RO filter"
"37 Afro Beat Road",Serowe,Hawassa,HaSe21258224,tap_in_home_broken,NULL,NULL
"2 Mlima Wa Matumaini Street",Mrembo,Kilimani,KiMr24871224,well,"Contaminated: Chemical","Install RO filter"
"61 Kuku Kenyatta Road",Rural,Sokoto,SoRu37832224,well,"Contaminated: Biological","Install UV and RO filter"
"87 Bahari Ya Faraja Road",Rural,Kilimani,KiRu29268224,well,"Contaminated: Chemical","Install RO filter"
"178 Afrobeats Street",Mrembo,Kilimani,KiMr25057224,well,"Contaminated: Biological","Install UV and RO filter"
"11 Conakry Street",Zuri,Kilimani,KiZu31261224,well,"Contaminated: Chemical","Install RO filter"
"179 Kiboko Nkrumah Lane",Rural,Hawassa,HaRu19199224,well,"Contaminated: Chemical","Install RO filter"
"148 Ziwa La Upendo Street",Rural,Kilimani,KiRu29696224,well,"Contaminated: Chemical","Install RO filter"
"149 Mombasa Road",Rural,Sokoto,SoRu35819224,shared_tap,NULL,NULL
"37 Special Star Road",Rural,Kilimani,KiRu29941224,shared_tap,NULL,NULL
"55 Kaduna Road",Rural,Kilimani,KiRu27423224,well,"Contaminated: Biological","Install UV and RO filter"
"27 Bamenda Boulevard",Rural,Hawassa,HaRu18078224,well,"Contaminated: Chemical","Install RO filter"
"51 Nyoka Achebe Street",Dahabu,Amanzi,AmDa11812224,shared_tap,NULL,NULL
"100 Yaounde Street",Zuri,Kilimani,KiZu31061224,tap_in_home_broken,NULL,NULL
"181 Yvonne Chaka Street",Harare,Akatsi,AkHa00555224,well,"Contaminated: Chemical","Install RO filter"
"152 Bahari Nyeupe Street",Rural,Kilimani,KiRu29471224,shared_tap,NULL,NULL
"35 Kigali Place",Rural,Akatsi,AkRu03181224,well,"Contaminated: Chemical","Install RO filter"
"127 Mombasa Road",Rural,Sokoto,SoRu35782224,well,"Contaminated: Chemical","Install RO filter"
"26 Kitale Drive",Rural,Kilimani,KiRu25626224,tap_in_home_broken,NULL,NULL
"132 Chura Usman Street",Bahari,Sokoto,SoBa31799224,well,"Contaminated: Biological","Install UV and RO filter"
"18 Akili Parkway",Kofi,Sokoto,SoKo33085224,well,"Contaminated: Biological","Install UV and RO filter"
"139 Casablanca Road",Rural,Sokoto,SoRu36310224,tap_in_home_broken,NULL,NULL
"152 Afrobeats Street",Mrembo,Kilimani,KiMr25119224,tap_in_home_broken,NULL,NULL
"47 Soyinka Boulevard",Rural,Kilimani,KiRu27509224,shared_tap,NULL,NULL
"19 Zuri Place",Pwani,Amanzi,AmPw12284224,tap_in_home_broken,NULL,NULL
"68 Amanpour Avenue",Rural,Kilimani,KiRu27553224,well,"Contaminated: Chemical","Install RO filter"
"136 Eto'o Street",Asmara,Amanzi,AmAs10336224,shared_tap,NULL,NULL
"21 Zambezi Street",Kintampo,Akatsi,AkKi01340224,well,"Contaminated: Chemical","Install RO filter"
"15 Constantine Road",Rural,Hawassa,HaRu17566224,tap_in_home_broken,NULL,NULL
"58 Zambezi Way",Amina,Amanzi,AmAm09372224,tap_in_home_broken,NULL,NULL
"107 Lumumba Lane",Amina,Amanzi,AmAm09503224,tap_in_home_broken,NULL,NULL
"75 Koinange Street",Rural,Akatsi,AkRu03495224,shared_tap,NULL,NULL
"145 Mombasa Road",Rural,Sokoto,SoRu35868224,well,"Contaminated: Biological","Install UV and RO filter"
"32 Alexandria Avenue",Rural,Kilimani,KiRu26516224,well,"Contaminated: Chemical","Install RO filter"
"180 Winnie Mandela Street",Rural,Hawassa,HaRu19054224,well,"Contaminated: Chemical","Install RO filter"
"151 Punda Kagame Street",Rural,Akatsi,AkRu06446224,well,"Contaminated: Chemical","Install RO filter"
"143 Yvonne Chaka Street",Harare,Akatsi,AkHa00720224,well,"Contaminated: Chemical","Install RO filter"
"3 Savannah Grove",Rural,Hawassa,HaRu17250224,well,"Contaminated: Chemical","Install RO filter"
"96 Ziwa La Upendo Street",Rural,Kilimani,KiRu29735224,well,"Contaminated: Chemical","Install RO filter"
"25 Djibouti Drive",Rural,Hawassa,HaRu18169224,well,"Contaminated: Chemical","Install RO filter"
"63 Kumasi Street",Lusaka,Akatsi,AkLu02126224,tap_in_home_broken,NULL,NULL
"128 Duma Leakey Road",Rural,Kilimani,KiRu27964224,river,NULL,"Drill well"
"176 Lilongwe Street",Lusaka,Akatsi,AkLu01843224,well,"Contaminated: Biological","Install UV and RO filter"
"106 Yaounde Street",Zuri,Kilimani,KiZu31025224,well,"Contaminated: Biological","Install UV and RO filter"
"100 Bahari Ya Upendo Road",Amara,Kilimani,KiAm22569224,tap_in_home_broken,NULL,NULL
"47 Achebe Kifaru Drive",Rural,Amanzi,AmRu14860224,tap_in_home_broken,NULL,NULL
"42 Tangier Terrace",Rural,Hawassa,HaRu17281224,well,"Contaminated: Biological","Install UV and RO filter"
"135 Kinshasa Road",Abidjan,Amanzi,AmAb09051224,tap_in_home_broken,NULL,NULL
"52 Yaya Touré Lane",Majengo,Sokoto,SoMa34088224,shared_tap,NULL,NULL
"147 Ukingo Wa Jua Street",Rural,Akatsi,AkRu07378224,well,"Contaminated: Biological","Install UV and RO filter"
"13 Ziwa La Kutazama Avenue",Amina,Hawassa,HaAm16288224,tap_in_home_broken,NULL,NULL
"26 Patrice Lumumba Drive",Abidjan,Amanzi,AmAb09174224,well,"Contaminated: Biological","Install UV and RO filter"
"87 Pwani Ya Joto Road",Rural,Sokoto,SoRu38429224,river,NULL,"Drill well"
"75 Kuku Kenyatta Road",Rural,Sokoto,SoRu37790224,river,NULL,"Drill well"
"71 Samora Machel Road",Harare,Kilimani,KiHa23382224,well,"Contaminated: Chemical","Install RO filter"
"91 Ndege Tambo Road",Deka,Hawassa,HaDe16509224,well,"Contaminated: Biological","Install UV and RO filter"
"64 Tripoli Street",Harare,Kilimani,KiHa22644224,well,"Contaminated: Biological","Install UV and RO filter"
"64 Nadi Kijani Lane",Asmara,Amanzi,AmAs10534224,tap_in_home_broken,NULL,NULL
"5 Chanzo Cha Furaha Road",Rural,Hawassa,HaRu19788224,well,"Contaminated: Biological","Install UV and RO filter"
"24 Wangari Maathai Avenue",Yaounde,Hawassa,HaYa21569224,well,"Contaminated: Chemical","Install RO filter"
"38 Kaduna Road",Rural,Kilimani,KiRu27352224,river,NULL,"Drill well"
"154 Zinjathropus Street",Rural,Amanzi,AmRu14187224,tap_in_home_broken,NULL,NULL
"11 Nyama Choma Street",Rural,Amanzi,AmRu14687224,shared_tap,NULL,NULL
"91 Duma Leakey Road",Rural,Kilimani,KiRu28027224,well,"Contaminated: Chemical","Install RO filter"
"110 Kifaru Lumumba Road",Amina,Hawassa,HaAm16131224,tap_in_home_broken,NULL,NULL
"139 Farasi Makeba Street",Isiqalo,Kilimani,KiIs24000224,well,"Contaminated: Biological","Install UV and RO filter"
"52 Sungura Amanpour Road",Rural,Kilimani,KiRu28560224,well,"Contaminated: Biological","Install UV and RO filter"
"114 Timbuktu Road",Rural,Amanzi,AmRu13978224,tap_in_home_broken,NULL,NULL
"65 Freetown Road",Marang,Sokoto,SoMa34255224,tap_in_home_broken,NULL,NULL
"30 Mwewe Kagame Drive",Rural,Sokoto,SoRu37541224,shared_tap,NULL,NULL
"19 Pwani Ya Joto Road",Rural,Sokoto,SoRu38539224,well,"Contaminated: Chemical","Install RO filter"
"27 Akili Parkway",Kofi,Sokoto,SoKo33099224,well,"Contaminated: Biological","Install UV and RO filter"
"123 Conakry Street",Zuri,Kilimani,KiZu31161224,tap_in_home_broken,NULL,NULL
"17 Fes Boulevard",Serowe,Hawassa,HaSe21080224,tap_in_home_broken,NULL,NULL
"183 Seychelles Street",Rural,Sokoto,SoRu36015224,well,"Contaminated: Biological","Install UV and RO filter"
"80 Garang Street",Amina,Hawassa,HaAm15979224,tap_in_home_broken,NULL,NULL
"130 Ukingo Wa Mto Road",Rural,Akatsi,AkRu07777224,well,"Contaminated: Chemical","Install RO filter"
"42 Lubumbashi Lane",Rural,Hawassa,HaRu17991224,shared_tap,NULL,NULL
"37 Afrobeats Street",Mrembo,Kilimani,KiMr25237224,well,"Contaminated: Biological","Install UV and RO filter"
"197 Maji Mema Street",Rural,Akatsi,AkRu07962224,river,NULL,"Drill well"
"11 Amanpour Avenue",Rural,Kilimani,KiRu27581224,tap_in_home_broken,NULL,NULL
"71 Bahari Ya Upendo Road",Amara,Kilimani,KiAm22506224,well,"Contaminated: Biological","Install UV and RO filter"
"157 Lumumba Street",Rural,Akatsi,AkRu03824224,well,"Contaminated: Chemical","Install RO filter"
"105 Kifaru Lumumba Road",Amina,Hawassa,HaAm16117224,tap_in_home_broken,NULL,NULL
"22 Durban Road",Djenne,Hawassa,HaDj16669224,well,"Contaminated: Chemical","Install RO filter"
"65 Pwani Ya Joto Road",Rural,Sokoto,SoRu38418224,tap_in_home_broken,NULL,NULL
"61 Mlima Wa Matumaini Street",Mrembo,Kilimani,KiMr24959224,tap_in_home_broken,NULL,NULL
"6 Lome Street",Amara,Kilimani,KiAm22029224,well,"Contaminated: Biological","Install UV and RO filter"
"33 Jengo Street",Pwani,Amanzi,AmPw12493224,shared_tap,NULL,NULL
"80 Papa Wemba Road",Lusaka,Akatsi,AkLu02631224,well,"Contaminated: Biological","Install UV and RO filter"
"42 Bamako Road",Cheche,Sokoto,SoCh31950224,tap_in_home_broken,NULL,NULL
"53 Biko Avenue",Kofi,Sokoto,SoKo33117224,well,"Contaminated: Biological","Install UV and RO filter"
"64 Angélique Kidjo Avenue",Dahabu,Amanzi,AmDa12215224,well,"Contaminated: Chemical","Install RO filter"
"108 Kuku Kenyatta Road",Rural,Sokoto,SoRu37830224,river,NULL,"Drill well"
"27 Senghor Way",Rural,Amanzi,AmRu14093224,well,"Contaminated: Chemical","Install RO filter"
"147 Jangwa La Fisi Street",Asmara,Amanzi,AmAs10742224,tap_in_home_broken,NULL,NULL
"56 Lagos Street",Pwani,Amanzi,AmPw12629224,river,NULL,"Drill well"
"82 Bahari Tamu Road",Ilanga,Sokoto,SoIl32783224,well,"Contaminated: Biological","Install UV and RO filter"
"12 Ramaphosa Road",Rural,Akatsi,AkRu05733224,tap_in_home_broken,NULL,NULL
"31 Bahari Ya Kupendeza Drive",Amara,Kilimani,KiAm22435224,well,"Contaminated: Biological","Install UV and RO filter"
"104 Mnyama Dangote Road",Rural,Hawassa,HaRu19447224,shared_tap,NULL,NULL
"26 Shakira Drive",Rural,Sokoto,SoRu39284224,well,"Contaminated: Chemical","Install RO filter"
"18 Kiboko Senghor Road",Isiqalo,Kilimani,KiIs24167224,tap_in_home_broken,NULL,NULL
"198 Tuku Street",Rural,Hawassa,HaRu20784224,shared_tap,NULL,NULL
"46 Lilongwe Street",Lusaka,Akatsi,AkLu01927224,shared_tap,NULL,NULL
"22 Youssou N'Dour Road",Rural,Sokoto,SoRu39059224,well,"Contaminated: Biological","Install UV and RO filter"
"20 Julius Nyerere Drive",Rural,Amanzi,AmRu14320224,well,"Contaminated: Chemical","Install RO filter"
"115 Okapi Road",Yaounde,Hawassa,HaYa21472224,well,"Contaminated: Chemical","Install RO filter"
"146 Youssou N'Dour Road",Rural,Sokoto,SoRu39061224,shared_tap,NULL,NULL
"67 Amin Road",Rural,Hawassa,HaRu18653224,well,"Contaminated: Chemical","Install RO filter"
"88 Zinjathropus Street",Rural,Amanzi,AmRu14184224,tap_in_home_broken,NULL,NULL
"14 Praia Avenue",Rural,Kilimani,KiRu26552224,tap_in_home_broken,NULL,NULL
"13 Lubumbashi Lane",Rural,Hawassa,HaRu18008224,shared_tap,NULL,NULL
"89 Kuku Kenyatta Road",Rural,Sokoto,SoRu37764224,well,"Contaminated: Chemical","Install RO filter"
"119 African Queen Road",Rural,Amanzi,AmRu15874224,well,"Contaminated: Chemical","Install RO filter"
"179 Kano Street",Rural,Hawassa,HaRu18534224,well,"Contaminated: Chemical","Install RO filter"
"28 Afro Blue Drive",Rural,Kilimani,KiRu30250224,well,"Contaminated: Biological","Install UV and RO filter"
"150 Port Said Street",Harare,Kilimani,KiHa23140224,tap_in_home_broken,NULL,NULL
"5 Ramaphosa Road",Rural,Akatsi,AkRu05653224,well,"Contaminated: Chemical","Install RO filter"
"9 Lusaka Circle",Rural,Sokoto,SoRu35083224,shared_tap,NULL,NULL
"1 Lubumbashi Lane",Rural,Hawassa,HaRu17929224,tap_in_home_broken,NULL,NULL
"98 Kiboko Senghor Road",Isiqalo,Kilimani,KiIs24201224,well,"Contaminated: Biological","Install UV and RO filter"
"4 Mto Maridadi Avenue",Rural,Amanzi,AmRu15092224,shared_tap,NULL,NULL
"6 Rift Valley Rise",Ilanga,Sokoto,SoIl32316224,well,"Contaminated: Chemical","Install RO filter"
"19 Achebe Kifaru Drive",Rural,Amanzi,AmRu14855224,well,"Contaminated: Chemical","Install RO filter"
"48 Malaika Drive",Rural,Hawassa,HaRu20229224,tap_in_home_broken,NULL,NULL
"44 Khama Avenue",Rural,Hawassa,HaRu18786224,river,NULL,"Drill well"
"46 Accra Avenue",Amina,Amanzi,AmAm09412224,tap_in_home_broken,NULL,NULL
"21 Giza Street",Rural,Akatsi,AkRu04809224,shared_tap,NULL,NULL
"150 Bahari Ya Upendo Road",Amara,Kilimani,KiAm22595224,well,"Contaminated: Biological","Install UV and RO filter"
"162 Zinjathropus Street",Rural,Amanzi,AmRu14140224,tap_in_home_broken,NULL,NULL
"97 Johnny Street",Rural,Hawassa,HaRu20399224,well,"Contaminated: Chemical","Install RO filter"
"61 Mto Wa Maji Avenue",Zuri,Kilimani,KiZu31396224,river,NULL,"Drill well"
"2 Mombasa Road",Rural,Sokoto,SoRu35787224,well,"Contaminated: Chemical","Install RO filter"
"114 Kaduna Road",Rural,Kilimani,KiRu27475224,well,"Contaminated: Chemical","Install RO filter"
"109 Mto Wa Furaha Road",Rural,Akatsi,AkRu07600224,shared_tap,NULL,NULL
"125 Milima Kali Street",Rural,Hawassa,HaRu20112224,shared_tap,NULL,NULL
"11 Cape Verde Street",Ilanga,Sokoto,SoIl32922224,river,NULL,"Drill well"
"164 Kano Street",Rural,Hawassa,HaRu18624224,well,"Contaminated: Chemical","Install RO filter"
"9 Ziwa Nyeusi Street",Kintampo,Akatsi,AkKi01248224,tap_in_home_broken,NULL,NULL
"32 Mlima Wa Uzuri Avenue",Rural,Sokoto,SoRu38390224,river,NULL,"Drill well"
"21 Kigali Place",Rural,Akatsi,AkRu03161224,tap_in_home_broken,NULL,NULL
"156 Sfax Street",Ilanga,Sokoto,SoIl32438224,well,"Contaminated: Chemical","Install RO filter"
"34 Monrovia Street",Rural,Sokoto,SoRu35626224,well,"Contaminated: Biological","Install UV and RO filter"
"77 Kiboko Senghor Road",Isiqalo,Kilimani,KiIs24134224,well,"Contaminated: Biological","Install UV and RO filter"
"72 Casablanca Street",Rural,Amanzi,AmRu13613224,shared_tap,NULL,NULL
"18 Bloemfontein Boulevard",Rural,Kilimani,KiRu27273224,shared_tap,NULL,NULL
"17 Rift Valley Rise",Ilanga,Sokoto,SoIl32313224,tap_in_home_broken,NULL,NULL
"183 Okocha Street",Mrembo,Kilimani,KiMr24409224,well,"Contaminated: Biological","Install UV and RO filter"
"42 Djibouti Drive",Rural,Hawassa,HaRu18126224,river,NULL,"Drill well"
"119 Mawimbi Maji Street",Rural,Amanzi,AmRu15190224,shared_tap,NULL,NULL
"109 Papa Wemba Road",Lusaka,Akatsi,AkLu02603224,well,"Contaminated: Biological","Install UV and RO filter"
"139 Bamako Road",Cheche,Sokoto,SoCh31986224,shared_tap,NULL,NULL
"18 Victoria Street",Rural,Akatsi,AkRu04050224,well,"Contaminated: Chemical","Install RO filter"
"24 Burna Boy Street",Rural,Kilimani,KiRu30227224,well,"Contaminated: Chemical","Install RO filter"
"113 Zambezi Street",Kintampo,Akatsi,AkKi01415224,well,"Contaminated: Chemical","Install RO filter"
